year,normed_pr_parity,normed_winpct_parity,adapted_gini_coefficient,salary_cap_era,free_agency_era
2014,0.4444444444444444,0.17434307503454213,0.21508049242424243,1,1
2013,0.5185185185185186,0.24456993503903948,0.21070075757575757,1,1
2012,0.37037037037037035,0.23606163952715822,0.21070075757575757,1,1
2011,0.6666666666666666,0.2159417962669571,0.21898674242424243,1,1
2010,0.6296296296296297,0.2374794398995416,0.2024147727272727,1,1
2009,0.6666666666666667,0.18668442414607064,0.21685606060606055,1,1
2008,0.7407407407407407,0.25662605790088816,0.22088068181818177,1,1
2007,0.5925925925925928,0.23333100817293873,0.2211174242424242,1,1
2006,0.6666666666666669,0.23228232417685163,0.19247159090909094,1,1
2005,0.6666666666666669,0.24256522962906285,0.22987689393939392,1,1
2004,0.4444444444444444,0.23280725665236465,0.2062026515151515,1,1
2003,0.7407407407407408,0.22521148914686834,0.2078598484848485,1,1
2002,0.5925925925925926,0.19963956779969744,0.17755681818181823,1,1
2001,0.6666666666666666,0.2551551815399144,0.21900201612903225,1,1
2000,0.6666666666666666,0.21710692450188382,0.21320564516129037,1,1
1999,0.7037037037037037,0.2743363203563587,0.19858870967741937,1,1
1998,0.5185185185185185,0.1983000672381799,0.23172043010752685,1,1
1997,0.4814814814814816,0.20539595906443728,0.19758064516129037,1,1
1996,0.5555555555555556,0.17640802608347123,0.19596774193548383,1,1
1995,0.4814814814814814,0.16809285628286924,0.1645161290322581,1,1
1994,0.5555555555555556,0.18298126367784998,0.18565270935960587,1,1
1993,0.40740740740740744,0.18221724671391562,0.17333743842364535,0,1
1992,0.5925925925925927,0.2432114012835042,0.2232142857142857,0,0
1991,0.5925925925925926,0.22596519169363863,0.23460591133004927,0,0
1990,0.6538461538461539,0.20338239186672127,0.21674876847290636,0,0
1989,0.4800000000000001,0.1827905588176182,0.19011699507389157,0,0
1988,0.6000000000000001,0.181408148027135,0.18103448275862066,0,0
1987,0.44000000000000006,0.2239572951249468,0.1880131362889984,0,0
1986,0.56,0.15714032059641106,0.2259852216748769,0,0
1985,0.5600000000000002,0.15912532964840728,0.20905172413793105,0,0
1984,0.43999999999999995,0.1875,0.22583128078817738,0,0
1983,0.6071428571428572,0.19751377469098394,0.17949507389162567,0,0
1982,0.642857142857143,0.22447587702754151,0.22742200328407225,0,0
1981,0.6400000000000001,0.24464122783607603,0.18395935960591137,0,0
1980,0.6799999999999999,0.20542991722934892,0.20027709359605916,0,0
1979,0.36,0.13748985352173654,0.18472906403940892,0,0
1978,0.5,0.1817126459442604,0.18365147783251234,0,0
1977,0.3913043478260869,0.15242213516622097,0.23082336382828994,0,0
1976,0.34782608695652173,0.21279241585380332,0.27163969035890223,0,0
1975,0.34782608695652173,0.192327314540518,0.26862026862026867,0,0
1974,0.3478260869565218,0.19001776336033613,0.21225071225071224,0,0
1973,0.391304347826087,0.19884872724392932,0.24888074888074885,0,0
1972,0.43478260869565216,0.20540193013756863,0.24338624338624337,0,0
1971,0.391304347826087,0.16897279466683277,0.20004070004070007,0,0
1970,0.6956521739130437,0.22975312667093492,0.22303622303622306,0,0
1969,0.3636363636363636,0.18663129477229445,0.2541717541717542,0,0
1968,0.65,0.14658595134015498,0.27085877085877086,0,0
1967,0.5294117647058824,0.21453358679690596,0.23208791208791213,0,0
