
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Atlanta Falcons,6,10,0,,381,417,-36,Smith,Ryan,Ryan,Jackson,Jones,12,8,27,32,11,24,23,32,-2.3,-1.6,-3.8,0.6,-4.4
2013,NFL,Atlanta Falcons,4,12,0,,353,443,-90,Smith,Ryan,Ryan,Jackson,Douglas,20,14,27,27,24,25,26,32,-5.6,2.9,-2.8,1.2,-3.9
2012,NFL,Atlanta Falcons*,13,3,0,Lost Conf,419,299,120,Smith,Ryan,Ryan,Turner,White,7,8,5,24,5,5,14,32,7.5,-1.1,6.4,2.0,4.5
2011,NFL,Atlanta Falcons*,10,6,0,Lost WC,402,350,52,Smith,Ryan,Ryan,Turner,White,7,10,18,12,5,10,7,32,3.3,0.3,3.5,1.8,1.7
2010,NFL,Atlanta Falcons*,13,3,0,Lost Div,414,288,126,Smith,White,Ryan,Turner,White,5,16,5,16,3,4,14,32,7.9,-1.8,6.1,3.8,2.2
2009,NFL,Atlanta Falcons,9,7,0,,363,325,38,Smith,White,Ryan,Turner,White,13,16,14,21,11,15,19,32,2.4,2.7,5.0,2.7,2.3
2008,NFL,Atlanta Falcons*,11,5,0,Lost WC,391,325,66,Smith,White,Ryan,Turner,White,10,6,11,24,21,11,19,32,4.1,-0.3,3.8,1.3,2.5
2007,NFL,Atlanta Falcons,4,12,0,,259,414,-155,PetrinoThomas,White,Harrington,Dunn,White,29,23,29,29,10,30,27,32,-9.7,-0.9,-10.6,-5.8,-4.8
2006,NFL,Atlanta Falcons,7,9,0,,292,328,-36,Mora,Vick,Vick,Dunn,Crumpler,25,12,15,22,8,21,16,32,-2.3,-0.8,-3.0,-2.8,-0.2
2005,NFL,Atlanta Falcons,8,8,0,,351,341,10,Mora,Dunn,Vick,Dunn,Crumpler,14,12,18,22,17,16,20,32,0.6,-1.9,-1.2,1.1,-2.3
2004,NFL,Atlanta Falcons*,11,5,0,Lost Conf,340,337,3,Mora,Vick,Vick,Dunn,Crumpler,16,20,14,14,17,14,17,32,0.2,-2.4,-2.2,-1.8,-0.4
2003,NFL,Atlanta Falcons,5,11,0,,299,422,-123,ReevesPhillips,Brooking,Johnson,Duckett,Price,20,29,30,32,14,28,31,32,-7.7,0.3,-7.4,-2.0,-5.4
2002,NFL,Atlanta Falcons*,9,6,1,Lost Div,402,314,88,Reeves,Vick,Vick,Dunn,Finneran,5,14,8,19,5,4,16,32,5.5,-0.4,5.1,3.5,1.5
2001,NFL,Atlanta Falcons,7,9,0,,291,377,-86,Reeves,Chandler,Chandler,Smith,Mathis,23,15,24,30,13,26,28,31,-5.4,0.7,-4.7,-2.7,-2.0
2000,NFL,Atlanta Falcons,4,12,0,,252,413,-161,Reeves,Anderson,Chandler,Anderson,Jefferson,27,30,26,25,23,27,29,31,-10.1,1.5,-8.6,-5.7,-2.9
1999,NFL,Atlanta Falcons,5,11,0,,285,380,-95,Reeves,Mathis,Chandler,Oxendine,Mathis,23,27,25,16,31,26,28,31,-5.9,-1.1,-7.1,-4.0,-3.0
1998,NFL,Atlanta Falcons*,14,2,0,Lost SB,442,289,153,Reeves,Anderson,Chandler,Anderson,Martin,4,7,4,8,1,3,7,30,9.6,0.4,10.0,7.0,3.0
1997,NFL,Atlanta Falcons,7,9,0,,320,361,-41,Reeves,Smith,Chandler,Anderson,Emanuel,18,23,21,20,11,19,23,30,-2.6,-1.6,-4.2,-1.2,-2.9
1996,NFL,Atlanta Falcons,3,13,0,,309,461,-152,Jones,Anderson,Hebert,Anderson,Emanuel,19,17,30,29,29,29,26,30,-9.5,0.4,-9.1,-0.2,-8.9
1995,NFL,Atlanta Falcons*,9,7,0,Lost WC,362,349,13,Jones,George,George,Heyward,Metcalf,11,10,19,29,4,15,23,30,0.8,-0.7,0.1,0.9,-0.9
1994,NFL,Atlanta Falcons,7,9,0,,317,385,-68,Jones,George,George,Heyward,Mathis,15,7,24,27,18,23,22,28,-4.3,-0.0,-4.3,-1.2,-3.1
1993,NFL,Atlanta Falcons,6,10,0,,316,385,-69,Glanville,Hinton,Hebert,Pegram,Rison,12,11,28,25,28,23,21,28,-4.3,-0.1,-4.4,0.8,-5.2
1992,NFL,Atlanta Falcons,6,10,0,,327,414,-87,Glanville,Rison,Miller,Broussard,Rison,11,10,28,28,23,22,22,28,-5.4,1.4,-4.1,2.3,-6.4
1991,NFL,Atlanta Falcons*,10,6,0,Lost Div,361,338,23,Glanville,Sanders,Miller,Broussard,Haynes,5,8,20,24,14,12,15,28,1.4,2.0,3.4,4.7,-1.3
1990,NFL,Atlanta Falcons,5,11,0,,348,365,-17,Glanville,Rison,Miller,Rozier,Rison,10,10,21,19,18,17,17,28,-1.1,-1.1,-2.1,0.9,-3.1
1989,NFL,Atlanta Falcons,3,13,0,,279,437,-158,CampbellHanifan,Miller,Miller,Settle,Collins,22,24,28,28,5,26,27,28,-9.9,0.8,-9.1,-3.2,-5.9
1988,NFL,Atlanta Falcons,5,11,0,,244,315,-71,Campbell,Case,Miller,Settle,Settle,25,25,11,25,12,22,27,28,-4.4,-0.1,-4.5,-5.0,0.5
1987,NFL,Atlanta Falcons,3,12,0,,205,436,-231,Campbell,Fralic,Campbell,Riggs,Dixon,28,28,28,28,28,28,28,28,-15.4,1.6,-13.8,-7.9,-5.9
1986,NFL,Atlanta Falcons,7,8,1,,280,280,0,Henning,Fralic,Archer,Riggs,Brown,21,17,6,7,12,16,11,28,0.0,-0.5,-0.5,-2.8,2.3
