
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Buffalo Bills,9,7,0,,343,289,54,Marrone,Williams,Orton,Jackson,Watkins,18,26,4,4,6,12,14,32,3.4,1.6,4.9,-0.4,5.3
2013,NFL,Buffalo Bills,6,10,0,,339,388,-49,Marrone,Williams,Manuel,Spiller,Chandler,22,19,20,10,12,22,16,32,-3.1,-0.1,-3.2,-1.3,-1.9
2012,NFL,Buffalo Bills,6,10,0,,344,435,-91,Gailey,Spiller,Fitzpatrick,Spiller,Johnson,21,19,26,22,27,25,22,32,-5.7,-1.0,-6.7,-0.9,-5.8
2011,NFL,Buffalo Bills,6,10,0,,372,434,-62,Gailey,Fitzpatrick,Fitzpatrick,Jackson,Johnson,14,14,30,26,13,22,19,32,-3.9,0.5,-3.4,1.2,-4.5
2010,NFL,Buffalo Bills,4,12,0,,283,425,-142,Gailey,Williams,Fitzpatrick,Jackson,Johnson,28,25,28,24,32,30,27,32,-8.9,4.3,-4.6,-1.5,-3.1
2009,NFL,Buffalo Bills,6,10,0,,258,326,-68,JauronFewell,Jackson,Fitzpatrick,Jackson,Owens,28,30,16,19,11,23,26,32,-4.3,2.4,-1.8,-4.5,2.7
2008,NFL,Buffalo Bills,7,9,0,,336,342,-6,Jauron,Lynch,Edwards,Lynch,Evans,23,25,14,14,27,20,24,32,-0.4,-3.0,-3.3,-2.8,-0.6
2007,NFL,Buffalo Bills,7,9,0,,252,354,-102,Jauron,Schobel,Edwards,Lynch,Evans,30,30,18,31,6,25,31,32,-6.4,2.3,-4.1,-5.6,1.5
2006,NFL,Buffalo Bills,7,9,0,,300,311,-11,Jauron,Schobel,Losman,McGahee,Evans,23,30,10,18,23,17,30,32,-0.7,2.9,2.2,-0.2,2.4
2005,NFL,Buffalo Bills,5,11,0,,271,367,-96,Mularkey,McGee,Holcomb,McGahee,Moulds,24,28,24,29,13,27,30,32,-6.0,0.2,-5.8,-4.0,-1.8
