
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Carolina Panthers*,7,8,1,Lost Div,339,374,-35,Rivera,Kuechly,Newton,Stewart,Benjamin,19,16,21,10,13,23,12,32,-2.2,-0.9,-3.1,-2.4,-0.7
2013,NFL,Carolina Panthers*,12,4,0,Lost Div,366,241,125,Rivera,Kuechly,Newton,Williams,Olsen,18,26,2,2,6,4,12,32,7.8,1.4,9.2,0.6,8.6
2012,NFL,Carolina Panthers,7,9,0,,357,363,-6,Rivera,Newton,Newton,Newton,Smith,18,12,18,10,16,18,8,32,-0.4,1.2,0.8,-0.5,1.3
2011,NFL,Carolina Panthers,6,10,0,,406,429,-23,Rivera,Newton,Newton,Williams,Smith,5,7,27,28,13,20,11,32,-1.4,0.1,-1.3,2.6,-3.9
2010,NFL,Carolina Panthers,2,14,0,,196,408,-212,Fox,Beason,Clausen,Stewart,Smith,32,32,26,18,25,32,31,32,-13.3,0.1,-13.2,-9.1,-4.1
2009,NFL,Carolina Panthers,8,8,0,,315,308,7,Fox,Peppers,Delhomme,Stewart,Smith,21,19,9,8,8,17,15,32,0.4,3.5,3.9,-0.6,4.5
2008,NFL,Carolina Panthers*,12,4,0,Lost Div,414,329,85,Fox,Smith,Delhomme,Williams,Smith,7,10,12,18,7,8,16,32,5.3,0.3,5.6,2.8,2.9
2007,NFL,Carolina Panthers,7,9,0,,267,347,-80,Fox,Beason,Testaverde,Foster,Smith,26,29,15,16,13,21,23,32,-5.0,-0.8,-5.8,-5.7,-0.1
2006,NFL,Carolina Panthers,8,8,0,,270,305,-35,Fox,Peppers,Delhomme,Foster,Smith,27,24,8,7,23,20,14,32,-2.2,-0.5,-2.7,-4.2,1.5
2005,NFL,Carolina Panthers*,11,5,0,Lost Conf,391,259,132,Fox,Smith,Delhomme,Foster,Smith,8,22,5,3,3,4,11,32,8.3,-3.2,5.1,3.0,2.1
2004,NFL,Carolina Panthers,7,9,0,,355,339,16,Fox,Peppers,Delhomme,Goings,Muhammad,13,13,15,20,4,12,19,32,1.0,-1.7,-0.7,-0.8,0.1
2003,NFL,Carolina Panthers*,11,5,0,Lost SB,325,304,21,Fox,Jenkins,Delhomme,Davis,Smith,15,16,10,8,25,16,11,32,1.3,-2.2,-0.9,-1.5,0.6
2002,NFL,Carolina Panthers,7,9,0,,258,302,-44,Fox,Jenkins,Peete,Smith,Smith,30,31,5,2,23,23,22,32,-2.8,-0.5,-3.3,-6.0,2.8
2001,NFL,Carolina Panthers,1,15,0,,253,410,-157,Seifert,Evans,Weinke,Huntley,Hayes,29,30,28,31,15,31,31,31,-9.8,0.9,-8.9,-4.6,-4.4
2000,NFL,Carolina Panthers,7,9,0,,310,310,0,Seifert,Beuerlein,Beuerlein,Biakabutuka,Muhammad,21,20,12,27,11,18,26,31,0.0,-1.1,-1.1,-3.6,2.5
1999,NFL,Carolina Panthers,8,8,0,,421,381,40,Seifert,Beuerlein,Beuerlein,Biakabutuka,Muhammad,4,6,26,26,19,12,14,31,2.5,-3.6,-1.1,2.9,-4.0
1998,NFL,Carolina Panthers,4,12,0,,336,413,-77,Capers,Ismail,Beuerlein,Lane,Ismail,12,20,27,30,17,23,28,30,-4.8,3.5,-1.3,1.0,-2.4
1997,NFL,Carolina Panthers,7,9,0,,265,314,-49,Capers,Barrow,Collins,Lane,Walls,27,26,13,15,27,20,22,30,-3.1,-0.5,-3.6,-4.4,0.8
1996,NFL,Carolina Panthers*,12,4,0,Lost Conf,367,218,149,Capers,Greene,Collins,Johnson,Carrier,7,23,2,10,3,2,13,30,9.3,-2.3,7.1,1.4,5.6
1995,NFL,Carolina Panthers,7,9,0,,289,325,-36,Capers,Mills,Collins,Moore,Carrier,25,26,8,7,21,22,22,30,-2.3,-1.5,-3.8,-4.1,0.3
