
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Chicago Bears,5,11,0,,319,442,-123,Trestman,Forte,Cutler,Forte,Jeffery,23,21,31,30,22,27,28,32,-7.7,1.0,-6.7,-2.0,-4.7
2013,NFL,Chicago Bears,8,8,0,,445,478,-33,Trestman,Forte,Cutler,Forte,Jeffery,2,8,30,30,11,21,19,32,-2.1,-2.1,-4.1,3.0,-7.1
2012,NFL,Chicago Bears,10,6,0,,375,277,98,Smith,Peppers,Cutler,Forte,Marshall,16,28,3,5,2,6,16,32,6.1,0.8,6.9,1.0,6.0
2011,NFL,Chicago Bears,8,8,0,,353,341,12,Smith,Peppers,Cutler,Forte,Knox,17,24,14,17,11,16,26,32,0.8,0.9,1.7,-1.5,3.1
2010,NFL,Chicago Bears*,11,5,0,Lost Conf,334,286,48,Smith,Peppers,Cutler,Forte,Knox,21,30,4,9,11,10,22,32,3.0,1.1,4.1,-0.6,4.7
2009,NFL,Chicago Bears,7,9,0,,327,375,-48,Smith,Briggs,Cutler,Forte,Hester,19,23,21,17,23,21,23,32,-3.0,-0.9,-3.9,-1.9,-2.0
2008,NFL,Chicago Bears,9,7,0,,375,350,25,Smith,Briggs,Orton,Forte,Hester,14,26,16,21,8,17,25,32,1.6,0.5,2.1,1.1,1.0
2007,NFL,Chicago Bears,7,9,0,,334,348,-14,Smith,Urlacher,Griese,Benson,Berrian,18,27,16,28,17,20,30,32,-0.9,2.1,1.2,-0.2,1.4
2006,NFL,Chicago Bears*,13,3,0,Lost SB,427,255,172,Smith,Urlacher,Grossman,Jones,Muhammad,2,15,3,5,4,2,10,32,10.8,-2.9,7.9,4.9,3.0
2005,NFL,Chicago Bears*,11,5,0,Lost Div,260,202,58,Smith,Briggs,Orton,Jones,Muhammad,26,29,1,2,11,12,25,32,3.6,-2.2,1.4,-5.2,6.6
2004,NFL,Chicago Bears,5,11,0,,231,331,-100,Smith,Briggs,Hutchinson,Jones,Terrell,32,32,13,21,23,28,32,32,-6.3,-2.0,-8.2,-8.5,0.3
2003,NFL,Chicago Bears,7,9,0,,283,346,-63,Jauron,Azumah,Stewart,Thomas,Booker,23,28,22,14,27,23,26,32,-3.9,0.4,-3.5,-4.2,0.7
2002,NFL,Chicago Bears,4,12,0,,281,379,-98,Jauron,Urlacher,Miller,Thomas,Booker,27,29,25,25,23,27,29,32,-6.1,0.9,-5.3,-4.4,-0.9
2001,NFL,Chicago Bears*,13,3,0,Lost Div,338,203,135,Jauron,Urlacher,Miller,Thomas,Booker,11,26,1,15,4,3,21,31,8.4,-0.5,7.9,0.8,7.1
2000,NFL,Chicago Bears,5,11,0,,216,355,-139,Jauron,Urlacher,McNown,Allen,Robinson,28,23,20,16,23,26,23,31,-8.7,2.4,-6.3,-6.4,0.1
1999,NFL,Chicago Bears,6,10,0,,272,341,-69,Jauron,Minter,Matthews,Enis,Robinson,25,8,20,29,17,24,20,31,-4.3,2.3,-2.0,-3.0,1.0
1998,NFL,Chicago Bears,4,12,0,,276,368,-92,Wannstedt,Engram,Kramer,Bennett,Engram,25,21,23,14,22,24,18,30,-5.8,2.0,-3.7,-3.4,-0.3
1997,NFL,Chicago Bears,4,12,0,,263,421,-158,Wannstedt,Minter,Kramer,Harris,Proehl,28,17,29,12,26,29,11,30,-9.9,1.4,-8.5,-3.1,-5.3
1996,NFL,Chicago Bears,7,9,0,,283,305,-22,Wannstedt,Conway,Krieg,Harris,Conway,26,21,12,12,14,19,14,30,-1.4,1.1,-0.2,-1.4,1.2
1995,NFL,Chicago Bears,9,7,0,,392,360,32,Wannstedt,Kramer,Kramer,Salaam,Graham,8,9,22,19,9,9,12,30,2.0,0.3,2.3,3.1,-0.8
1994,NFL,Chicago Bears*,9,7,0,Lost Div,271,307,-36,Wannstedt,Graham,Walsh,Tillman,Graham,24,23,10,13,20,18,15,28,-2.3,0.3,-1.9,-3.2,1.3
1993,NFL,Chicago Bears,7,9,0,,234,230,4,Wannstedt,Dent,Harbaugh,Anderson,Waddle,24,28,3,4,14,14,26,28,0.3,-0.5,-0.2,-4.6,4.3
1992,NFL,Chicago Bears,5,11,0,,295,361,-66,Ditka,Harbaugh,Harbaugh,Anderson,Davis,16,8,22,17,19,18,13,28,-4.1,0.6,-3.5,-0.2,-3.3
1991,NFL,Chicago Bears*,11,5,0,Lost WC,299,269,30,Ditka,Singletary,Harbaugh,Anderson,Davis,14,11,9,4,19,11,7,28,1.9,-1.0,0.8,-1.2,2.0
1990,NFL,Chicago Bears*,11,5,0,Lost Div,348,280,68,Ditka,Dent,Harbaugh,Anderson,Davis,10,13,9,6,3,10,9,28,4.3,-0.8,3.4,0.1,3.3
1989,NFL,Chicago Bears,6,10,0,,358,377,-19,Ditka,Hilgenberg,Tomczak,Anderson,Morris,10,10,20,25,19,16,19,28,-1.2,1.2,-0.0,1.8,-1.8
1988,NFL,Chicago Bears*,12,4,0,Lost Conf,312,215,97,Ditka,Singletary,McMahon,Anderson,McKinnon,18,11,1,2,12,4,3,28,6.1,0.5,6.6,-0.0,6.6
1987,NFL,Chicago Bears*,11,4,0,Lost Div,356,282,74,Ditka,McMichael,McMahon,Anderson,Gault,9,12,4,2,27,6,4,28,4.9,-1.1,3.8,1.5,2.3
1986,NFL,Chicago Bears*,14,2,0,Lost Div,352,187,165,Ditka,Marshall,Tomczak,Payton,Gault,13,7,1,1,14,1,1,28,10.3,-2.7,7.6,-0.1,7.7
1985,NFL,Chicago Bears*,15,1,0,Won SB,456,198,258,Ditka,Dent,McMahon,Payton,Gault,2,7,1,1,1,1,1,28,16.1,-0.2,15.9,6.5,9.4
1984,NFL,Chicago Bears*,10,6,0,Lost Conf,325,248,77,Ditka,Hampton,McMahon,Payton,Gault,16,7,3,1,10,9,1,28,4.8,-0.1,4.7,-1.7,6.4
1983,NFL,Chicago Bears,8,8,0,,311,301,10,Ditka,Singletary,McMahon,Payton,Gault,20,6,5,8,12,12,5,28,0.6,-1.7,-1.1,-2.5,1.5
1982,NFL,Chicago Bears,3,6,0,,141,174,-33,Ditka,Hampton,McMahon,Payton,Moorehead,22,26,13,16,13,22,25,28,-3.7,-1.7,-5.4,-4.2,-1.2
1981,NFL,Chicago Bears,6,10,0,,253,324,-71,Armstrong,Fencik,Evans,Payton,Margerum,27,26,14,19,15,23,25,28,-4.4,1.6,-2.9,-4.4,1.5
1980,NFL,Chicago Bears,7,9,0,,304,264,40,Armstrong,Payton,Evans,Payton,Scott,17,24,4,10,21,12,15,28,2.5,-1.1,1.4,-1.2,2.6
1979,NFL,Chicago Bears*,10,6,0,Lost WC,306,249,57,Armstrong,Payton,Phipps,Payton,Baschnagel,18,24,3,6,4,6,11,28,3.6,-3.6,-0.0,-2.2,2.1
1978,NFL,Chicago Bears,7,9,0,,253,274,-21,Armstrong,Payton,Avellini,Payton,Scott,20,22,9,12,17,19,18,28,-1.3,-1.1,-2.4,-2.7,0.3
1977,NFL,Chicago Bears*,9,5,0,Lost Div,255,253,2,Pardee,Payton,Avellini,Payton,Scott,13,3,19,22,15,16,8,28,0.1,-3.7,-3.6,0.0,-3.6
1976,NFL,Chicago Bears,7,7,0,,253,216,37,Pardee,Payton,Avellini,Payton,Scott,17,20,8,17,1,14,17,28,2.6,1.9,4.6,0.3,4.2
1975,NFL,Chicago Bears,4,10,0,,191,379,-188,Pardee,Chambers,Huff,Payton,Rather,24,24,25,17,21,25,23,26,-13.4,1.9,-11.5,-4.9,-6.6
1974,NFL,Chicago Bears,4,10,0,,152,279,-127,Gibron,Chambers,Huff,Grandberry,Wade,25,25,17,9,19,24,19,26,-9.1,-1.2,-10.3,-7.4,-2.9
1973,NFL,Chicago Bears,3,11,0,,195,334,-139,Gibron,Douglass,Douglass,Garrett,Thomas,24,26,20,17,22,23,23,26,-9.9,1.1,-8.8,-4.4,-4.4
1972,NFL,Chicago Bears,4,9,1,,225,275,-50,Gibron,Douglass,Douglass,Douglass,Farmer,21,23,15,13,12,19,20,26,-3.6,2.2,-1.3,-2.8,1.5
1971,NFL,Chicago Bears,6,8,0,,185,276,-91,Dooley,Butkus,Douglass,Shy,Farmer,25,24,12,23,16,24,25,26,-6.5,3.1,-3.4,-4.4,1.1
1970,NFL,Chicago Bears,6,8,0,,256,261,-5,Dooley,Gordon,Concannon,Montgomery,Gordon,16,25,10,18,18,15,24,26,-0.4,2.6,2.2,0.4,1.8
1969,NFL,Chicago Bears,1,13,0,,210,339,-129,Dooley,Butkus,Concannon,Sayers,Wallace,16,15,12,5,14,15,11,16,-9.2,3.4,-5.9,-3.2,-2.6
