
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Cincinnati Bengals*,10,5,1,Lost WC,365,344,21,Lewis,Whitworth,Dalton,Hill,Green,15,15,12,22,16,14,21,32,1.3,-0.6,0.7,-0.5,1.3
2013,NFL,Cincinnati Bengals*,11,5,0,Lost WC,430,305,125,Lewis,Burfict,Dalton,Green-Ellis,Green,6,10,5,3,13,4,4,32,7.8,-2.5,5.3,2.3,3.0
2012,NFL,Cincinnati Bengals*,10,6,0,Lost WC,391,320,71,Lewis,Atkins,Dalton,Green-Ellis,Green,12,22,8,6,11,10,11,32,4.4,-2.4,2.1,1.2,0.9
2011,NFL,Cincinnati Bengals*,9,7,0,Lost WC,344,323,21,Lewis,Atkins,Dalton,Benson,Green,18,20,9,7,17,13,13,32,1.3,-0.9,0.5,0.7,-0.2
2010,NFL,Cincinnati Bengals,4,12,0,,322,395,-73,Lewis,Palmer,Palmer,Benson,Owens,22,20,24,15,25,26,18,32,-4.6,3.1,-1.4,0.4,-1.9
2009,NFL,Cincinnati Bengals*,10,6,0,Lost WC,305,291,14,Lewis,Hall,Palmer,Benson,Johnson,22,24,6,4,18,16,16,32,0.9,-0.2,0.7,-2.5,3.2
2008,NFL,Cincinnati Bengals,4,11,1,,204,364,-160,Lewis,Hall,Fitzpatrick,Benson,Houshmandzadeh,32,32,19,12,20,30,26,32,-10.0,3.0,-7.0,-6.9,-0.1
2007,NFL,Cincinnati Bengals,7,9,0,,380,385,-5,Lewis,Johnson,Palmer,Watson,Johnson,11,10,24,27,8,17,17,32,-0.3,-2.1,-2.4,1.6,-4.0
2006,NFL,Cincinnati Bengals,8,8,0,,373,331,42,Lewis,Anderson,Palmer,Johnson,Johnson,8,8,17,30,6,10,18,32,2.6,1.5,4.1,4.0,0.0
