
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Cleveland Browns,7,9,0,,299,337,-38,Pettine,Thomas,Hoyer,West,Hawkins,27,23,9,23,9,25,26,32,-2.4,-1.5,-3.9,-4.8,0.9
2013,NFL,Cleveland Browns,4,12,0,,308,406,-98,Chudzinski,Gordon,Campbell,McGahee,Gordon,27,18,23,9,25,27,15,32,-6.1,-1.6,-7.7,-4.8,-2.9
2012,NFL,Cleveland Browns,5,11,0,,302,368,-66,Shurmur,Thomas,Weeden,Richardson,Gordon,24,25,19,23,12,24,29,32,-4.1,-1.2,-5.3,-4.6,-0.7
2011,NFL,Cleveland Browns,4,12,0,,218,307,-89,Shurmur,Thomas,McCoy,Hillis,Little,30,29,5,10,13,27,28,32,-5.6,0.2,-5.4,-7.2,1.8
2010,NFL,Cleveland Browns,5,11,0,,271,332,-61,Mangini,Thomas,McCoy,Hillis,Watson,31,29,13,22,15,23,28,32,-3.8,2.3,-1.5,-3.4,2.0
2009,NFL,Cleveland Browns,5,11,0,,245,375,-130,Mangini,Thomas,Quinn,Harrison,Massaquoi,29,32,21,31,29,27,32,32,-8.1,-0.3,-8.4,-6.0,-2.4
2008,NFL,Cleveland Browns,4,12,0,,232,350,-118,Crennel,Rogers,Anderson,Lewis,Edwards,30,31,16,26,8,27,31,32,-7.4,2.7,-4.6,-5.2,0.6
2007,NFL,Cleveland Browns,10,6,0,,402,382,20,Crennel,Anderson,Anderson,Lewis,Edwards,8,8,21,30,19,14,20,32,1.3,-2.3,-1.1,2.2,-3.3
2006,NFL,Cleveland Browns,4,12,0,,238,356,-118,Crennel,Wimbley,Frye,Droughns,Edwards,30,31,22,27,31,30,32,32,-7.4,1.5,-5.8,-4.5,-1.3
2005,NFL,Cleveland Browns,6,10,0,,232,301,-69,Crennel,Droughns,Dilfer,Droughns,Bryant,32,26,11,16,23,22,26,32,-4.3,0.1,-4.2,-6.0,1.7
2004,NFL,Cleveland Browns,4,12,0,,276,390,-114,DavisRobiskie,Lang,Garcia,Suggs,Northcutt,27,28,24,15,26,30,28,32,-7.1,3.7,-3.4,-1.5,-1.9
2003,NFL,Cleveland Browns,5,11,0,,254,322,-68,Davis,Lang,Holcomb,Green,Northcutt,29,26,12,15,28,24,25,32,-4.3,1.3,-2.9,-5.3,2.4
2002,NFL,Cleveland Browns*,9,7,0,Lost WC,344,320,24,Davis,Holmes,Couch,Green,Morgan,19,23,10,21,18,15,21,32,1.5,-0.3,1.2,-0.4,1.7
2001,NFL,Cleveland Browns,7,9,0,,285,319,-34,Davis,Miller,Couch,Jackson,Johnson,25,31,15,22,7,19,30,31,-2.1,1.3,-0.8,-0.9,0.1
2000,NFL,Cleveland Browns,3,13,0,,161,419,-258,Palmer,McKenzie,Couch,Prentice,Johnson,31,31,27,26,19,31,31,31,-16.1,1.5,-14.6,-9.1,-5.5
1999,NFL,Cleveland Browns,2,14,0,,217,437,-220,Palmer,Couch,Couch,Kirby,Johnson,31,31,29,31,28,31,31,31,-13.8,-0.3,-14.1,-7.6,-6.5
1995,NFL,Cleveland Browns,5,11,0,,289,356,-67,Belichick,Testaverde,Testaverde,Hoard,Jackson,25,21,20,24,25,24,24,30,-4.2,0.4,-3.8,-3.2,-0.6
