
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Indianapolis Colts*,11,5,0,Lost Conf,458,369,89,Pagano,Luck,Luck,Richardson,Hilton,6,3,19,11,22,7,3,32,5.6,-1.1,4.4,5.2,-0.8
2013,NFL,Indianapolis Colts*,11,5,0,Lost Div,391,336,55,Pagano,Mathis,Luck,Brown,Hilton,14,15,9,20,3,10,20,32,3.4,0.6,4.0,1.7,2.3
2012,NFL,Indianapolis Colts*,11,5,0,Lost WC,357,387,-30,Pagano,Luck,Luck,Ballard,Wayne,18,10,21,26,26,21,18,32,-1.9,-2.8,-4.7,-1.9,-2.8
2011,NFL,Indianapolis Colts,2,14,0,,243,430,-187,Caldwell,Freeney,Painter,Brown,Wayne,28,30,28,25,26,30,32,32,-11.7,0.4,-11.3,-6.0,-5.3
2010,NFL,Indianapolis Colts*,10,6,0,Lost WC,435,388,47,Caldwell,Manning,Manning,Brown,Wayne,4,4,23,20,19,11,8,32,2.9,-0.1,2.9,3.7,-0.9
2009,NFL,Indianapolis Colts*,14,2,0,Lost SB,416,307,109,Caldwell,Manning,Manning,Addai,Wayne,7,9,8,18,13,9,14,32,6.8,-0.9,5.9,4.4,1.5
2008,NFL,Indianapolis Colts*,12,4,0,Lost WC,377,298,79,Dungy,Manning,Manning,Addai,Wayne,13,15,7,11,4,9,13,32,4.9,1.6,6.5,2.6,3.9
2007,NFL,Indianapolis Colts*,13,3,0,Lost Div,450,262,188,Dungy,Wayne,Manning,Addai,Wayne,3,5,1,3,2,2,2,32,11.8,0.3,12.0,6.6,5.4
2006,NFL,Indianapolis Colts*,12,4,0,Won SB,427,360,67,Dungy,Manning,Manning,Addai,Harrison,2,3,23,21,6,9,7,32,4.2,1.7,5.9,6.9,-1.1
2005,NFL,Indianapolis Colts*,14,2,0,Lost Div,439,247,192,Dungy,Saturday,Manning,James,Harrison,2,3,2,11,4,1,2,32,12.0,-1.2,10.8,5.6,5.2
2004,NFL,Indianapolis Colts*,12,4,0,Lost Div,522,351,171,Dungy,Manning,Manning,James,Wayne,1,2,19,29,1,2,7,32,10.7,0.7,11.4,11.7,-0.3
2003,NFL,Indianapolis Colts*,12,4,0,Lost Conf,447,336,111,Dungy,Manning,Manning,James,Harrison,2,3,20,11,6,4,3,32,6.9,0.0,7.0,8.2,-1.2
2002,NFL,Indianapolis Colts*,10,6,0,Lost WC,349,313,36,Dungy,Harrison,Manning,James,Harrison,17,9,7,8,21,13,8,32,2.3,-1.1,1.2,0.4,0.7
