
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Dallas Cowboys*,12,4,0,Lost Div,467,352,115,Garrett,Murray,Romo,Murray,Bryant,5,7,15,19,9,5,7,32,7.2,-1.8,5.4,5.3,0.1
2013,NFL,Dallas Cowboys,8,8,0,,439,432,7,Garrett,Romo,Romo,Murray,Bryant,5,16,26,32,9,15,31,32,0.4,-1.1,-0.7,2.7,-3.4
2012,NFL,Dallas Cowboys,8,8,0,,376,400,-24,Garrett,Romo,Romo,Murray,Bryant,15,6,24,19,27,19,10,32,-1.5,1.8,0.3,1.4,-1.2
2011,NFL,Dallas Cowboys,8,8,0,,369,347,22,Garrett,Ware,Romo,Murray,Witten,15,11,16,14,10,12,8,32,1.4,0.3,1.6,0.7,0.9
2010,NFL,Dallas Cowboys,6,10,0,,394,436,-42,GarrettPhillips,Gurode,Kitna,Jones,Austin,7,7,31,23,13,21,12,32,-2.6,0.5,-2.2,2.5,-4.7
2009,NFL,Dallas Cowboys*,11,5,0,Lost Div,361,250,111,Phillips,Ratliff,Romo,Barber,Austin,14,2,2,9,13,8,2,32,6.9,0.2,7.1,0.4,6.7
2008,NFL,Dallas Cowboys,9,7,0,,362,365,-3,Phillips,Ware,Romo,Barber,Owens,18,13,20,8,30,19,7,32,-0.2,0.8,0.6,1.7,-1.2
2007,NFL,Dallas Cowboys*,13,3,0,Lost Div,455,325,130,Phillips,Romo,Romo,Barber,Owens,2,3,13,9,8,4,4,32,8.1,1.3,9.5,7.8,1.7
2006,NFL,Dallas Cowboys*,9,7,0,Lost WC,425,350,75,Parcells,Adams,Romo,Jones,Owens,4,5,20,13,15,7,9,32,4.7,-1.0,3.7,5.0,-1.3
2005,NFL,Dallas Cowboys,9,7,0,,325,308,17,Parcells,Bledsoe,Bledsoe,Jones,Glenn,15,13,12,10,19,15,13,32,1.1,2.1,3.2,-0.1,3.2
2004,NFL,Dallas Cowboys,6,10,0,,293,405,-112,Parcells,Testaverde,Testaverde,Jones,Johnson,25,14,27,16,28,29,16,32,-7.0,-0.8,-7.8,-3.0,-4.8
2003,NFL,Dallas Cowboys*,10,6,0,Lost WC,289,260,29,Parcells,Nguyen,Carter,Hambrick,Glenn,21,15,2,1,22,15,2,32,1.8,-2.3,-0.5,-3.2,2.7
2002,NFL,Dallas Cowboys,5,11,0,,217,329,-112,Campo,Glover,Hutchinson,Smith,Galloway,31,30,13,18,20,28,28,32,-7.0,-1.5,-8.5,-8.2,-0.3
2001,NFL,Dallas Cowboys,5,11,0,,246,338,-92,Campo,Allen,Carter,Smith,Ismail,30,29,20,4,24,27,19,31,-5.8,-0.2,-6.0,-4.5,-1.5
2000,NFL,Dallas Cowboys,5,11,0,,294,361,-67,Campo,Allen,Aikman,Smith,McKnight,23,25,22,19,28,24,25,31,-4.2,-0.4,-4.6,-1.5,-3.0
