
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Denver Broncos*,12,4,0,Lost Div,482,354,128,Fox,Manning,Manning,Anderson,Thomas,2,4,16,3,11,4,2,32,8.0,1.6,9.6,9.2,0.4
2013,NFL,Denver Broncos*,13,3,0,Lost SB,606,399,207,Fox,Manning,Manning,Moreno,Thomas,1,1,22,19,14,1,1,32,12.9,-1.6,11.4,14.1,-2.7
2012,NFL,Denver Broncos*,13,3,0,Lost Div,481,289,192,Fox,Miller,Manning,McGahee,Thomas,2,4,4,2,17,2,1,32,12.0,-1.9,10.1,6.3,3.8
2011,NFL,Denver Broncos*,8,8,0,Lost Div,309,390,-81,Fox,Miller,Tebow,McGahee,Decker,25,23,24,20,26,25,27,32,-5.1,-0.2,-5.3,-3.6,-1.7
2010,NFL,Denver Broncos,4,12,0,,344,471,-127,McDanielsStudesville,Lloyd,Orton,Moreno,Lloyd,19,13,32,32,27,29,25,32,-7.9,-1.0,-8.9,-1.1,-7.8
2009,NFL,Denver Broncos,8,8,0,,326,324,2,McDaniels,Dumervil,Orton,Moreno,Marshall,20,15,12,7,7,18,13,32,0.1,0.2,0.3,-1.0,1.3
2008,NFL,Denver Broncos,8,8,0,,370,448,-78,Shanahan,Cutler,Cutler,Hillis,Marshall,16,2,30,29,31,25,14,32,-4.9,-0.9,-5.8,0.7,-6.5
2007,NFL,Denver Broncos,7,9,0,,320,409,-89,Shanahan,Cutler,Cutler,Young,Marshall,21,11,28,19,13,23,15,32,-5.6,1.6,-3.9,-0.2,-3.8
2006,NFL,Denver Broncos,9,7,0,,319,305,14,Shanahan,Bailey,Plummer,Bell,Walker,17,21,8,14,17,14,20,32,0.9,0.4,1.3,-0.8,2.1
2005,NFL,Denver Broncos*,13,3,0,Lost Conf,395,258,137,Shanahan,Bailey,Plummer,Anderson,Smith,7,5,3,15,2,3,5,32,8.6,2.2,10.8,5.0,5.8
2004,NFL,Denver Broncos*,10,6,0,Lost WC,381,304,77,Shanahan,Bailey,Plummer,Droughns,Smith,9,5,9,4,24,7,1,32,4.8,1.0,5.9,1.6,4.3
2003,NFL,Denver Broncos*,10,6,0,Lost WC,381,301,80,Shanahan,Nalen,Plummer,Portis,Smith,10,7,9,4,22,9,1,32,5.0,0.5,5.5,2.4,3.1
2002,NFL,Denver Broncos,9,7,0,,392,344,48,Shanahan,Portis,Griese,Portis,Smith,7,3,15,6,21,8,1,32,3.0,1.9,4.9,3.0,1.9
2001,NFL,Denver Broncos,8,8,0,,340,339,1,Shanahan,Smith,Griese,Davis,Smith,10,22,21,8,6,15,14,31,0.1,-0.5,-0.5,0.5,-1.0
2000,NFL,Denver Broncos*,11,5,0,Lost WC,485,369,116,Shanahan,Nalen,Griese,Anderson,Smith,2,2,23,24,2,5,5,31,7.3,-2.2,5.0,7.8,-2.7
