
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Jacksonville Jaguars,3,13,0,,249,412,-163,Bradley,Marks,Bortles,Robinson,Hurns,32,31,26,26,25,30,32,32,-10.2,-0.3,-10.5,-7.8,-2.7
2013,NFL,Jacksonville Jaguars,4,12,0,,247,449,-202,Bradley,Posluszny,Henne,Jones-Drew,Shorts,32,31,28,27,23,32,32,32,-12.6,1.5,-11.1,-7.1,-4.0
2012,NFL,Jacksonville Jaguars,2,14,0,,255,444,-189,Mularkey,Posluszny,Henne,Jones-Drew,Shorts,30,29,29,30,21,31,32,32,-11.8,-1.1,-13.0,-8.1,-4.9
2011,NFL,Jacksonville Jaguars,5,11,0,,243,329,-86,Del RioTucker,Jones-Drew,Gabbert,Jones-Drew,Lewis,28,32,11,6,9,26,29,32,-5.4,-0.3,-5.6,-7.1,1.4
2010,NFL,Jacksonville Jaguars,8,8,0,,353,419,-66,Del Rio,Jones-Drew,Garrard,Jones-Drew,Thomas,18,15,27,28,31,24,23,32,-4.1,-0.4,-4.5,-1.2,-3.3
2009,NFL,Jacksonville Jaguars,7,9,0,,290,380,-90,Del Rio,Garrard,Garrard,Jones-Drew,Sims-Walker,24,18,24,23,13,25,22,32,-5.6,-0.9,-6.5,-3.8,-2.6
2008,NFL,Jacksonville Jaguars,5,11,0,,302,367,-65,Del Rio,Garrard,Garrard,Jones-Drew,Jones,24,20,21,17,25,24,22,32,-4.1,1.6,-2.5,-2.1,-0.4
2007,NFL,Jacksonville Jaguars*,11,5,0,Lost Div,411,304,107,Del Rio,Jones-Drew,Garrard,Taylor,Williams,6,7,10,12,6,7,8,32,6.7,0.1,6.8,4.8,2.0
2006,NFL,Jacksonville Jaguars,8,8,0,,371,274,97,Del Rio,Mathis,Garrard,Taylor,Jones,9,10,4,2,15,5,4,32,6.1,1.4,7.5,2.6,4.9
2005,NFL,Jacksonville Jaguars*,12,4,0,Lost WC,361,269,92,Del Rio,Naeole,Leftwich,Taylor,Smith,12,15,6,6,6,8,10,32,5.8,-1.0,4.8,1.1,3.7
2004,NFL,Jacksonville Jaguars,9,7,0,,261,280,-19,Del Rio,Henderson,Leftwich,Taylor,Smith,29,21,7,11,11,18,18,32,-1.2,1.9,0.8,-5.7,6.4
2003,NFL,Jacksonville Jaguars,5,11,0,,276,331,-55,Del Rio,Taylor,Leftwich,Taylor,Smith,25,12,18,6,22,22,7,32,-3.4,1.0,-2.4,-3.3,0.9
2002,NFL,Jacksonville Jaguars,6,10,0,,328,315,13,Coughlin,Taylor,Brunell,Taylor,Smith,21,25,9,20,5,18,24,32,0.8,-1.0,-0.2,-1.3,1.1
2001,NFL,Jacksonville Jaguars,6,10,0,,294,286,8,Coughlin,Brunell,Brunell,Mack,Smith,21,20,10,16,18,14,20,31,0.5,0.4,0.9,-1.1,2.0
2000,NFL,Jacksonville Jaguars,7,9,0,,367,327,40,Coughlin,Brunell,Brunell,Taylor,Smith,8,7,16,12,15,13,7,31,2.5,-1.4,1.1,3.2,-2.1
1999,NFL,Jacksonville Jaguars*,14,2,0,Lost Conf,396,217,179,Coughlin,Hardy,Brunell,Stewart,Smith,6,7,1,4,4,2,3,31,11.2,-4.8,6.4,1.3,5.1
1998,NFL,Jacksonville Jaguars*,11,5,0,Lost Div,392,338,54,Coughlin,Boselli,Brunell,Taylor,Smith,8,10,17,25,5,11,20,30,3.4,-0.9,2.5,3.1,-0.6
1997,NFL,Jacksonville Jaguars*,11,5,0,Lost WC,394,318,76,Coughlin,Smith,Brunell,Means,Smith,3,7,15,23,6,6,9,30,4.8,0.7,5.5,4.4,1.0
1996,NFL,Jacksonville Jaguars*,9,7,0,Lost Conf,325,335,-10,Coughlin,Brunell,Brunell,Stewart,Smith,14,2,19,15,19,16,6,30,-0.6,-0.9,-1.5,-1.6,0.1
1995,NFL,Jacksonville Jaguars,4,12,0,,275,404,-129,Coughlin,Brunell,Brunell,Stewart,Jackson,27,28,28,21,21,28,28,30,-8.1,0.0,-8.1,-4.4,-3.7
