
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Kansas City Chiefs,9,7,0,,353,281,72,Reid,Houston,Smith,Charles,Kelce,16,25,2,7,21,9,22,32,4.5,1.1,5.6,-0.0,5.7
2013,NFL,Kansas City Chiefs*,11,5,0,Lost WC,430,305,125,Reid,Charles,Smith,Charles,Charles,6,21,5,24,2,4,25,32,7.8,-1.7,6.1,1.7,4.3
2012,NFL,Kansas City Chiefs,2,14,0,,211,425,-214,Crennel,Charles,Cassel,Charles,Bowe,32,24,25,20,31,32,27,32,-13.4,-0.6,-14.0,-10.3,-3.7
2011,NFL,Kansas City Chiefs,7,9,0,,212,338,-126,HaleyCrennel,Johnson,Cassel,Battle,Bowe,31,27,12,11,18,29,21,32,-7.9,-0.2,-8.1,-10.2,2.1
2010,NFL,Kansas City Chiefs*,10,6,0,Lost WC,366,326,40,Haley,Charles,Cassel,Charles,Bowe,14,12,11,14,5,13,10,32,2.5,-3.2,-0.7,-1.5,0.8
2009,NFL,Kansas City Chiefs,4,12,0,,294,424,-130,Haley,Charles,Cassel,Charles,Chambers,23,25,29,30,16,27,28,32,-8.1,-0.3,-8.4,-2.5,-5.9
2008,NFL,Kansas City Chiefs,2,14,0,,291,440,-149,Edwards,Bowe,Thigpen,Johnson,Gonzalez,26,24,29,31,8,29,27,32,-9.3,0.1,-9.2,-3.9,-5.3
2007,NFL,Kansas City Chiefs,4,12,0,,226,335,-109,Edwards,Allen,Huard,Johnson,Gonzalez,31,31,14,13,28,26,24,32,-6.8,1.4,-5.5,-7.4,1.9
2006,NFL,Kansas City Chiefs*,9,7,0,Lost WC,331,315,16,Edwards,Johnson,Huard,Johnson,Gonzalez,15,16,11,16,10,13,17,32,1.0,-0.0,1.0,0.4,0.6
2005,NFL,Kansas City Chiefs,10,6,0,,403,325,78,Vermeil,Johnson,Green,Johnson,Kennison,6,1,16,25,8,9,1,32,4.9,2.1,7.0,5.1,1.9
