
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Miami Dolphins,8,8,0,,388,373,15,Philbin,Tannehill,Tannehill,Miller,Wallace,11,14,20,12,14,15,13,32,0.9,1.6,2.6,2.9,-0.4
2013,NFL,Miami Dolphins,8,8,0,,317,335,-18,Philbin,Grimes,Tannehill,Miller,Hartline,26,27,8,21,18,18,28,32,-1.1,0.3,-0.8,-2.9,2.1
2012,NFL,Miami Dolphins,7,9,0,,288,317,-29,Philbin,Wake,Tannehill,Bush,Hartline,27,27,7,21,24,20,28,32,-1.8,-0.8,-2.6,-5.5,2.9
2011,NFL,Miami Dolphins,6,10,0,,329,313,16,SparanoBowles,Marshall,Moore,Bush,Marshall,20,22,6,15,24,14,22,32,1.0,-0.1,0.9,-2.2,3.2
2010,NFL,Miami Dolphins,7,9,0,,273,333,-60,Sparano,Wake,Henne,Brown,Marshall,30,21,14,6,30,22,11,32,-3.8,4.1,0.3,-2.8,3.1
2009,NFL,Miami Dolphins,7,9,0,,360,390,-30,Sparano,Long,Henne,Williams,Bess,15,17,25,22,26,20,20,32,-1.9,3.6,1.7,2.9,-1.2
2008,NFL,Miami Dolphins*,11,5,0,Lost WC,345,317,28,Sparano,Pennington,Pennington,Brown,Ginn,21,12,9,15,1,16,18,32,1.8,-2.3,-0.5,-2.4,1.8
2007,NFL,Miami Dolphins,1,15,0,,267,437,-170,Cameron,Taylor,Lemon,Brown,Booker,26,28,30,23,22,31,27,32,-10.6,2.3,-8.4,-4.1,-4.2
2006,NFL,Miami Dolphins,6,10,0,,260,283,-23,Saban,Taylor,Harrington,Brown,Booker,29,20,5,4,13,19,12,32,-1.4,2.1,0.7,-3.3,4.0
2005,NFL,Miami Dolphins,9,7,0,,318,317,1,Saban,Thomas,Frerotte,Brown,Chambers,16,14,15,18,14,17,18,32,0.1,-0.8,-0.8,-1.1,0.3
2004,NFL,Miami Dolphins,4,12,0,,275,354,-79,BatesWannstedt,Taylor,Feeley,Morris,Chambers,28,29,20,8,29,26,25,32,-4.9,2.7,-2.2,-2.7,0.5
2003,NFL,Miami Dolphins,10,6,0,,311,261,50,Wannstedt,Thomas,Fiedler,Williams,Chambers,17,24,3,10,10,12,19,32,3.1,0.3,3.4,-0.7,4.1
2002,NFL,Miami Dolphins,9,7,0,,378,301,77,Wannstedt,Williams,Fiedler,Williams,Chambers,12,15,4,3,15,5,7,32,4.8,1.2,6.1,1.7,4.4
2001,NFL,Miami Dolphins*,11,5,0,Lost WC,344,290,54,Wannstedt,Taylor,Fiedler,Smith,Chambers,8,21,11,5,26,9,12,31,3.4,-0.7,2.7,-0.3,3.1
