
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,New Orleans Saints,7,9,0,,401,424,-23,Payton,Brees,Brees,Ingram,Stills,9,1,28,31,31,20,9,32,-1.4,-1.5,-2.9,1.9,-4.8
2013,NFL,New Orleans Saints*,11,5,0,Lost Div,414,304,110,Payton,Brees,Brees,Thomas,Graham,10,4,4,4,14,7,2,32,6.9,1.9,8.8,3.8,5.0
2012,NFL,New Orleans Saints,7,9,0,,461,454,7,VittKromer,Evans,Brees,Ingram,Colston,3,2,31,32,14,15,26,32,0.4,1.0,1.4,6.5,-5.1
2011,NFL,New Orleans Saints*,13,3,0,Lost Div,547,339,208,Payton,Evans,Brees,Sproles,Graham,2,1,13,24,19,1,2,32,13.0,-1.6,11.4,10.6,0.8
2010,NFL,New Orleans Saints*,11,5,0,Lost WC,384,307,77,Payton,Evans,Brees,Ivory,Colston,11,6,7,4,23,7,4,32,4.8,-2.5,2.3,1.5,0.8
2009,NFL,New Orleans Saints*,13,3,0,Won SB,510,341,169,Payton,Evans,Brees,Thomas,Colston,1,1,20,25,3,1,9,32,10.6,0.2,10.8,11.2,-0.5
2008,NFL,New Orleans Saints,8,8,0,,463,393,70,Payton,Brees,Brees,Thomas,Moore,1,1,26,23,22,10,3,32,4.4,-0.3,4.0,6.8,-2.8
2007,NFL,New Orleans Saints,7,9,0,,379,388,-9,Payton,Brees,Brees,Bush,Colston,12,4,25,26,22,19,14,32,-0.6,-2.0,-2.5,1.9,-4.5
2006,NFL,New Orleans Saints*,10,6,0,Lost Conf,413,322,91,Payton,Brees,Brees,McAllister,Colston,5,1,13,11,22,6,1,32,5.7,-1.6,4.0,4.9,-0.9
2005,NFL,New Orleans Saints,3,13,0,,235,398,-163,Haslett,Brooks,Brooks,Smith,Stallworth,31,20,28,14,31,30,19,32,-10.2,-0.9,-11.1,-6.2,-4.9
2004,NFL,New Orleans Saints,8,8,0,,348,405,-57,Haslett,Brooks,Brooks,McAllister,Horn,14,15,27,32,10,24,31,32,-3.6,-2.0,-5.6,-1.2,-4.3
2003,NFL,New Orleans Saints,8,8,0,,340,326,14,Haslett,McAllister,Brooks,McAllister,Horn,14,11,14,18,18,17,15,32,0.9,-1.1,-0.3,0.1,-0.4
2002,NFL,New Orleans Saints,9,7,0,,432,388,44,Haslett,Brooks,Brooks,McAllister,Horn,3,19,26,27,9,10,25,32,2.8,-0.3,2.4,5.8,-3.3
2001,NFL,New Orleans Saints,7,9,0,,333,409,-76,Haslett,Brooks,Brooks,Williams,Horn,13,10,27,16,21,24,13,31,-4.8,-0.1,-4.8,-0.1,-4.7
2000,NFL,New Orleans Saints*,10,6,0,Lost Div,354,305,49,Haslett,Glover,Blake,Williams,Horn,10,10,10,8,8,12,10,31,3.1,-2.2,0.9,-1.2,2.1
1999,NFL,New Orleans Saints,3,13,0,,260,434,-174,Ditka,Roaf,Tolliver,Williams,Kennison,29,19,28,20,19,29,24,31,-10.9,-1.3,-12.1,-5.3,-6.9
1998,NFL,New Orleans Saints,6,10,0,,305,359,-54,Ditka,Glover,Tolliver,Smith,Dawkins,21,28,21,26,16,19,30,30,-3.4,3.5,0.1,-1.5,1.6
1997,NFL,New Orleans Saints,6,10,0,,237,327,-90,Ditka,Tubbs,Shuler,Zellars,Hill,30,30,16,4,30,25,27,30,-5.6,-1.8,-7.4,-6.8,-0.6
1996,NFL,New Orleans Saints,3,13,0,,229,339,-110,MoraVenturi,Martin,Everett,Bates,Haynes,29,29,20,13,28,28,27,30,-6.9,-1.2,-8.1,-7.1,-1.0
1995,NFL,New Orleans Saints,7,9,0,,319,348,-29,Mora,Roaf,Everett,Bates,Early,20,19,18,22,7,20,20,30,-1.8,-0.3,-2.2,-1.7,-0.4
1994,NFL,New Orleans Saints,7,9,0,,348,407,-59,Mora,Roaf,Everett,Bates,Haynes,9,12,27,25,15,22,17,28,-3.7,0.1,-3.6,1.0,-4.6
1993,NFL,New Orleans Saints,8,8,0,,317,343,-26,Mora,Turnbull,Wilson,Brown,Martin,11,21,22,7,20,20,15,28,-1.6,0.3,-1.3,0.7,-2.1
1992,NFL,New Orleans Saints*,12,4,0,Lost WC,330,202,128,Mora,Swilling,Hebert,Dunbar,Martin,10,14,1,2,5,3,7,28,8.0,-0.2,7.8,0.7,7.1
1991,NFL,New Orleans Saints*,11,5,0,Lost WC,341,211,130,Mora,Swilling,Hebert,McAfee,Turner,8,15,1,2,1,5,4,28,8.1,0.9,9.0,2.8,6.3
1990,NFL,New Orleans Saints*,8,8,0,Lost WC,274,275,-1,Mora,Swilling,Walsh,Heyward,Martin,22,23,8,15,26,16,18,28,-0.1,-1.2,-1.3,-4.7,3.4
1989,NFL,New Orleans Saints,9,7,0,,386,301,85,Mora,Hilliard,Hebert,Hilliard,Martin,5,11,11,12,7,6,15,28,5.3,-0.7,4.6,2.3,2.2
1988,NFL,New Orleans Saints,10,6,0,,312,283,29,Mora,Mills,Hebert,Hilliard,Martin,18,16,4,12,15,11,13,28,1.8,-0.3,1.5,-1.0,2.6
