
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,New York Giants,6,10,0,,380,400,-20,Coughlin,Manning,Manning,Williams,Beckham,13,10,22,29,19,19,20,32,-1.3,-0.4,-1.7,0.8,-2.5
2013,NFL,New York Giants,7,9,0,,294,383,-89,Coughlin,Rolle,Manning,Brown,Cruz,28,28,18,8,31,23,22,32,-5.6,0.2,-5.4,-6.2,0.8
2012,NFL,New York Giants,9,7,0,,429,344,85,Coughlin,Snee,Manning,Bradshaw,Cruz,6,14,12,31,4,8,24,32,5.3,0.9,6.2,4.0,2.2
2011,NFL,New York Giants*,9,7,0,Won SB,394,400,-6,Coughlin,Manning,Manning,Bradshaw,Cruz,9,8,25,27,7,19,12,32,-0.4,2.0,1.6,3.1,-1.5
2010,NFL,New York Giants,10,6,0,,394,347,47,Coughlin,Snee,Manning,Bradshaw,Nicks,7,5,17,7,18,11,3,32,2.9,-0.8,2.1,1.7,0.4
2009,NFL,New York Giants,8,8,0,,402,427,-25,Coughlin,Manning,Manning,Jacobs,Smith,8,8,30,13,24,19,10,32,-1.6,1.6,0.1,4.6,-4.5
2008,NFL,New York Giants*,12,4,0,Lost Div,427,294,133,Coughlin,Tuck,Manning,Jacobs,Hixon,3,7,5,5,4,3,4,32,8.3,0.1,8.4,5.5,2.8
2007,NFL,New York Giants*,10,6,0,Won SB,373,351,22,Coughlin,Umenyiora,Manning,Jacobs,Burress,14,16,17,7,26,13,11,32,1.4,1.9,3.3,2.8,0.4
2006,NFL,New York Giants*,8,8,0,Lost WC,355,362,-7,Coughlin,Barber,Manning,Barber,Burress,11,14,24,25,17,16,19,32,-0.4,0.5,0.1,1.2,-1.1
2005,NFL,New York Giants*,11,5,0,Lost WC,422,314,108,Coughlin,Barber,Manning,Barber,Burress,3,4,14,24,4,6,8,32,6.8,0.7,7.5,5.8,1.7
2004,NFL,New York Giants,6,10,0,,303,347,-44,Coughlin,Barber,Warner,Barber,Toomer,22,23,17,13,14,22,24,32,-2.8,-1.2,-3.9,-2.3,-1.6
2003,NFL,New York Giants,4,12,0,,243,387,-144,Fassel,Strahan,Collins,Barber,Toomer,30,20,29,22,31,31,23,32,-9.0,0.4,-8.6,-4.8,-3.7
2002,NFL,New York Giants*,10,6,0,Lost WC,320,279,41,Fassel,Strahan,Collins,Barber,Toomer,22,6,3,9,18,12,5,32,2.6,-1.7,0.8,-2.2,3.0
2001,NFL,New York Giants,7,9,0,,294,321,-27,Fassel,Strahan,Collins,Barber,Toomer,21,9,16,14,16,18,7,31,-1.7,-0.1,-1.8,-1.8,0.0
2000,NFL,New York Giants*,12,4,0,Lost SB,328,246,82,Fassel,Hamilton,Collins,Barber,Toomer,15,13,5,5,9,9,8,31,5.1,-2.7,2.4,-1.3,3.8
1999,NFL,New York Giants,7,9,0,,299,358,-59,Fassel,Armstead,Collins,Montgomery,Toomer,20,17,23,13,25,23,15,31,-3.7,0.7,-3.0,-1.8,-1.2
1998,NFL,New York Giants,8,8,0,,287,309,-22,Fassel,Strahan,Kanell,Brown,Calloway,23,29,8,19,13,15,23,30,-1.4,-1.9,-3.2,-4.3,1.1
1997,NFL,New York Giants*,10,5,1,Lost WC,307,265,42,Fassel,Strahan,Kanell,Way,Calloway,21,27,3,18,1,10,25,30,2.6,-1.1,1.5,-1.8,3.3
1996,NFL,New York Giants,6,10,0,,242,297,-55,Reeves,Bratzke,Brown,Hampton,Calloway,28,30,10,14,14,20,29,30,-3.4,-0.7,-4.1,-5.7,1.5
1995,NFL,New York Giants,5,11,0,,290,340,-50,Reeves,Brown,Brown,Hampton,Calloway,24,29,16,17,9,23,26,30,-3.1,1.6,-1.5,-2.6,1.1
1994,NFL,New York Giants,9,7,0,,279,305,-26,Reeves,Brooks,Brown,Hampton,Sherrard,22,28,8,11,8,16,24,28,-1.6,-0.1,-1.7,-2.7,1.0
1993,NFL,New York Giants*,11,5,0,Lost Div,288,205,83,Reeves,Brooks,Simms,Hampton,Jackson,18,10,1,5,3,6,7,28,5.2,-0.5,4.6,-0.8,5.4
1992,NFL,New York Giants,6,10,0,,306,367,-61,Handley,Hampton,Hostetler,Hampton,McCaffrey,13,22,26,18,12,17,21,28,-3.8,2.0,-1.8,1.6,-3.4
1991,NFL,New York Giants,8,8,0,,281,297,-16,Handley,Oates,Hostetler,Hampton,Ingram,19,16,12,7,17,19,11,28,-1.0,2.0,1.0,-0.6,1.5
1990,NFL,New York Giants*,13,3,0,Won SB,335,211,124,Parcells,Johnson,Simms,Anderson,Baker,15,17,1,2,2,2,6,28,7.8,-0.1,7.7,0.0,7.6
1989,NFL,New York Giants*,12,4,0,Lost Div,348,252,96,Parcells,Taylor,Simms,Anderson,Manuel,12,20,2,5,9,4,11,28,6.0,0.4,6.4,1.9,4.6
1988,NFL,New York Giants,10,6,0,,359,304,55,Parcells,Taylor,Simms,Morris,Manuel,8,20,9,11,7,9,16,28,3.4,-1.3,2.2,1.5,0.7
1987,NFL,New York Giants,6,9,0,,280,312,-32,Parcells,Banks,Simms,Morris,Bavaro,22,18,13,7,23,18,12,28,-2.1,1.4,-0.7,-2.9,2.2
1986,NFL,New York Giants*,14,2,0,Won SB,371,236,135,Parcells,Taylor,Simms,Morris,Bavaro,8,10,2,2,6,2,5,28,8.4,0.6,9.0,3.2,5.8
1985,NFL,New York Giants*,10,6,0,Lost Div,399,283,116,Parcells,Taylor,Simms,Morris,Manuel,6,5,5,2,14,4,2,28,7.3,-3.3,3.9,2.1,1.8
1984,NFL,New York Giants*,9,7,0,Lost Div,299,301,-2,Parcells,Haynes,Simms,Carpenter,Johnson,19,13,8,11,5,15,14,28,-0.1,1.0,0.8,-2.2,3.1
1983,NFL,New York Giants,3,12,1,,267,347,-80,Parcells,Taylor,Brunner,Woolfolk,Gray,25,15,16,5,27,23,8,28,-5.0,2.9,-2.1,-5.5,3.4
1982,NFL,New York Giants,4,5,0,,164,160,4,Perkins,Taylor,Brunner,Woolfolk,Perkins,17,16,8,7,16,11,14,28,0.4,0.5,1.0,-1.9,2.9
1981,NFL,New York Giants*,9,7,0,Lost Div,295,257,38,Perkins,Taylor,Simms,Carpenter,Perkins,22,28,3,3,16,13,22,28,2.4,1.0,3.4,-2.2,5.5
1980,NFL,New York Giants,4,12,0,,249,425,-176,Perkins,Van Pelt,Simms,Taylor,Gray,26,27,27,24,14,27,28,28,-11.0,1.3,-9.7,-4.3,-5.5
1979,NFL,New York Giants,6,10,0,,237,323,-86,Perkins,Carson,Simms,Taylor,Gray,27,28,14,19,15,25,28,28,-5.4,-0.8,-6.1,-5.4,-0.8
1978,NFL,New York Giants,6,10,0,,264,298,-34,McVay,Carson,Pisarcik,Kotar,Robinson,19,23,16,22,13,22,24,28,-2.1,-0.4,-2.5,-1.1,-1.3
1977,NFL,New York Giants,5,9,0,,181,265,-84,McVay,Van Pelt,Pisarcik,Hammond,Robinson,24,24,21,12,13,21,23,28,-6.0,-0.2,-6.2,-4.0,-2.2
