
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Tennessee Titans,2,14,0,,254,438,-184,Whisenhunt,Casey,Mettenberger,Sankey,Walker,30,29,29,27,28,31,29,32,-11.5,-0.3,-11.8,-7.0,-4.9
2013,NFL,Tennessee Titans,7,9,0,,362,381,-19,Munchak,Verner,Fitzpatrick,Johnson,Wright,19,22,16,14,14,19,18,32,-1.2,0.4,-0.8,-0.2,-0.6
2012,NFL,Tennessee Titans,6,10,0,,330,471,-141,Munchak,Johnson,Locker,Johnson,Washington,23,26,32,27,22,28,30,32,-8.8,-1.2,-10.0,-2.6,-7.4
2011,NFL,Tennessee Titans,9,7,0,,325,317,8,Munchak,Johnson,Hasselbeck,Johnson,Washington,21,17,8,18,13,17,20,32,0.5,-1.5,-1.0,-2.2,1.2
2010,NFL,Tennessee Titans,6,10,0,,356,339,17,Fisher,Johnson,Collins,Johnson,Britt,17,27,15,26,19,16,29,32,1.1,-0.0,1.0,-0.9,1.9
2009,NFL,Tennessee Titans,8,8,0,,354,402,-48,Fisher,Johnson,Young,Johnson,Britt,16,12,28,28,21,21,21,32,-3.0,0.2,-2.8,0.9,-3.6
2008,NFL,Tennessee Titans*,13,3,0,Lost Div,375,234,141,Fisher,Finnegan,Collins,Johnson,Gage,14,21,2,7,2,1,15,32,8.8,0.1,8.9,1.5,7.5
2007,NFL,Tennessee Titans*,10,6,0,Lost WC,301,297,4,Fisher,Haynesworth,Young,White,Gage,22,21,8,5,16,16,12,32,0.3,0.5,0.7,-2.9,3.6
2006,NFL,Tennessee Titans,8,8,0,,324,400,-76,Fisher,Henry,Young,Henry,Bennett,16,27,31,32,13,26,31,32,-4.8,3.5,-1.3,1.0,-2.3
2005,NFL,Tennessee Titans,4,12,0,,299,421,-122,Fisher,Vanden Bosch,McNair,Brown,Bennett,21,17,29,19,20,29,21,32,-7.6,0.1,-7.6,-2.0,-5.5
2004,NFL,Tennessee Titans,5,11,0,,344,439,-95,Fisher,Bennett,Volek,Brown,Bennett,15,11,30,27,20,27,21,32,-5.9,1.5,-4.4,0.3,-4.6
2003,NFL,Tennessee Titans*,12,4,0,Lost Div,435,324,111,Fisher,Bulluck,McNair,George,Mason,5,8,13,12,3,4,9,32,6.9,-0.5,6.5,7.0,-0.5
2002,NFL,Tennessee Titans*,11,5,0,Lost Conf,367,324,43,Fisher,Bulluck,McNair,George,Mason,13,17,11,10,11,11,15,32,2.7,-0.9,1.8,1.6,0.1
2001,NFL,Tennessee Titans,7,9,0,,336,388,-52,Fisher,McNair,McNair,George,Mason,12,8,25,25,20,22,18,31,-3.3,1.2,-2.0,2.4,-4.4
2000,NFL,Tennessee Titans*,13,3,0,Lost Div,346,191,155,Fisher,Rolle,McNair,George,Mason,13,14,2,1,16,3,2,31,9.7,-1.3,8.3,1.5,6.8
1999,NFL,Tennessee Titans*,13,3,0,Lost SB,392,324,68,Fisher,Kearse,McNair,George,Dyson,7,13,15,17,2,6,17,31,4.3,-3.2,1.0,2.0,-1.0
1998,NFL,Tennessee Oilers,8,8,0,,330,320,10,Fisher,McNair,McNair,George,Wycheck,13,9,12,16,15,13,13,30,0.6,-0.6,0.0,-0.5,0.5
1997,NFL,Tennessee Oilers,8,8,0,,333,310,23,Fisher,McNair,McNair,George,Wycheck,14,18,12,22,9,13,20,30,1.4,0.2,1.7,-0.3,1.9
1996,NFL,Houston Oilers,8,8,0,,345,319,26,Fisher,Matthews,Chandler,George,Sanders,10,18,16,6,20,11,8,30,1.6,-0.7,0.9,0.1,0.8
1995,NFL,Houston Oilers,7,9,0,,348,324,24,Fisher,Lewis,Chandler,Thomas,Sanders,15,23,7,5,14,11,11,30,1.5,-0.7,0.8,-0.1,0.9
1994,NFL,Houston Oilers,2,14,0,,226,352,-126,PardeeFisher,Dishman,Tolliver,White,Slaughter,28,26,21,9,26,27,21,28,-7.9,0.6,-7.3,-4.7,-2.6
1993,NFL,Houston Oilers*,12,4,0,Lost Div,368,238,130,Pardee,Childress,Moon,Brown,Slaughter,4,3,4,14,18,3,3,28,8.1,-0.9,7.2,4.1,3.1
1992,NFL,Houston Oilers*,10,6,0,Lost WC,352,258,94,Pardee,White,Moon,White,Duncan,6,3,9,3,19,7,2,28,5.9,-0.3,5.5,3.0,2.6
1991,NFL,Houston Oilers*,11,5,0,Lost Div,386,251,135,Pardee,Moon,Moon,Pinkett,Jeffires,4,2,6,9,17,4,3,28,8.4,-0.1,8.4,4.9,3.4
1990,NFL,Houston Oilers*,9,7,0,Lost WC,405,307,98,Pardee,Moon,Moon,White,Jeffires,2,1,14,11,16,5,2,28,6.1,-0.9,5.2,4.9,0.3
1989,NFL,Houston Oilers*,9,7,0,Lost WC,365,412,-47,Glanville,Moon,Moon,Highsmith,Hill,7,9,26,13,14,18,12,28,-2.9,0.4,-2.5,2.8,-5.3
1988,NFL,Houston Oilers*,10,6,0,Lost Div,424,365,59,Glanville,Matthews,Moon,Rozier,Hill,2,14,22,8,6,8,9,28,3.7,-0.7,3.0,5.3,-2.3
