
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Philadelphia Eagles,10,6,0,,474,400,74,Kelly,Cox,Sanchez,McCoy,Maclin,3,5,22,28,26,8,11,32,4.6,-0.7,3.9,6.6,-2.7
2013,NFL,Philadelphia Eagles*,10,6,0,Lost WC,442,382,60,Kelly,Mathis,Foles,McCoy,Jackson,4,2,17,29,4,9,10,32,3.8,-1.9,1.9,2.3,-0.5
2012,NFL,Philadelphia Eagles,4,12,0,,280,444,-164,Reid,Mathis,Vick,McCoy,Maclin,29,15,29,15,31,30,12,32,-10.3,1.4,-8.9,-5.3,-3.6
2011,NFL,Philadelphia Eagles,8,8,0,,396,328,68,Reid,Peters,Vick,McCoy,Jackson,8,4,10,8,30,9,4,32,4.3,0.5,4.7,3.1,1.7
2010,NFL,Philadelphia Eagles*,10,6,0,Lost WC,439,377,62,Reid,Vick,Vick,McCoy,Jackson,3,2,21,12,5,9,5,32,3.9,0.3,4.2,5.4,-1.2
2009,NFL,Philadelphia Eagles*,11,5,0,Lost WC,429,337,92,Reid,Jackson,McNabb,McCoy,Jackson,5,11,19,12,2,10,11,32,5.8,0.2,6.0,5.8,0.2
2008,NFL,Philadelphia Eagles*,9,6,1,Lost Conf,416,289,127,Reid,Mikell,McNabb,Westbrook,Jackson,6,9,4,3,14,4,1,32,7.9,-0.1,7.8,4.7,3.2
2007,NFL,Philadelphia Eagles,8,8,0,,336,300,36,Reid,Westbrook,McNabb,Westbrook,Curtis,17,6,9,10,25,11,7,32,2.3,3.0,5.3,0.1,5.1
2006,NFL,Philadelphia Eagles*,10,6,0,Lost Div,398,328,70,Reid,Andrews,McNabb,Westbrook,Brown,6,2,15,15,9,8,5,32,4.4,-1.0,3.4,3.2,0.2
