
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Pittsburgh Steelers*,11,5,0,Lost WC,436,368,68,Tomlin,Bell,Roethlisberger,Bell,Brown,7,2,18,18,16,10,4,32,4.3,-2.0,2.2,4.4,-2.1
2013,NFL,Pittsburgh Steelers,8,8,0,,379,370,9,Tomlin,Brown,Roethlisberger,Bell,Brown,16,20,14,13,20,14,17,32,0.6,-2.5,-2.0,-0.9,-1.0
2012,NFL,Pittsburgh Steelers,8,8,0,,336,314,22,Tomlin,Pouncey,Roethlisberger,Dwyer,Wallace,22,21,6,1,24,14,4,32,1.4,-2.0,-0.7,-2.8,2.1
2011,NFL,Pittsburgh Steelers*,12,4,0,Lost WC,325,227,98,Tomlin,Polamalu,Roethlisberger,Mendenhall,Wallace,21,12,1,1,28,7,1,32,6.1,-0.8,5.3,-0.8,6.0
2010,NFL,Pittsburgh Steelers*,12,4,0,Lost SB,375,232,143,Tomlin,Harrison,Roethlisberger,Mendenhall,Wallace,12,14,1,2,2,3,2,32,8.9,1.3,10.2,2.5,7.7
2009,NFL,Pittsburgh Steelers,9,7,0,,368,324,44,Tomlin,Roethlisberger,Roethlisberger,Mendenhall,Holmes,12,7,12,5,20,14,6,32,2.8,-1.1,1.7,1.0,0.7
2008,NFL,Pittsburgh Steelers*,12,4,0,Won SB,347,223,124,Tomlin,Harrison,Roethlisberger,Parker,Ward,20,22,1,1,11,5,2,32,7.8,2.0,9.8,1.6,8.2
2007,NFL,Pittsburgh Steelers*,10,6,0,Lost WC,393,269,124,Tomlin,Faneca,Roethlisberger,Parker,Holmes,9,17,2,1,12,6,3,32,7.8,-2.5,5.2,0.9,4.3
2006,NFL,Pittsburgh Steelers,8,8,0,,353,315,38,Cowher,Faneca,Roethlisberger,Parker,Ward,12,7,11,9,27,11,3,32,2.4,1.0,3.4,3.0,0.4
2005,NFL,Pittsburgh Steelers*,11,5,0,Won SB,389,258,131,Cowher,Faneca,Roethlisberger,Parker,Ward,9,15,3,4,9,5,7,32,8.2,-0.4,7.8,3.8,4.0
2004,NFL,Pittsburgh Steelers*,15,1,0,Lost Conf,372,251,121,Cowher,Farrior,Roethlisberger,Bettis,Ward,11,16,1,1,5,5,2,32,7.6,1.4,9.0,3.4,5.6
2003,NFL,Pittsburgh Steelers,6,10,0,,300,327,-27,Cowher,Faneca,Maddox,Bettis,Ward,19,22,15,9,21,19,18,32,-1.7,0.6,-1.1,-2.5,1.4
2002,NFL,Pittsburgh Steelers*,10,5,1,Lost Div,390,345,45,Cowher,Porter,Maddox,Zereoue,Ward,8,5,16,7,15,9,3,32,2.8,-0.1,2.7,3.1,-0.4
