
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Oakland Raiders,3,13,0,,253,452,-199,SparanoAllen,Mack,Carr,McFadden,Holmes,31,32,32,21,32,32,30,32,-12.4,3.4,-9.0,-4.3,-4.7
2013,NFL,Oakland Raiders,4,12,0,,322,453,-131,Allen,Houston,Pryor,Jennings,Streater,24,23,29,22,27,29,24,32,-8.2,0.2,-8.0,-3.8,-4.2
2012,NFL,Oakland Raiders,4,12,0,,290,443,-153,Allen,Palmer,Palmer,McFadden,Myers,26,18,28,18,23,29,17,32,-9.6,-1.3,-10.8,-4.6,-6.2
2011,NFL,Oakland Raiders,8,8,0,,359,433,-74,Jackson,Seymour,Palmer,Bush,Heyward-Bey,16,9,29,29,22,23,18,32,-4.6,-0.3,-4.9,0.2,-5.1
2010,NFL,Oakland Raiders,8,8,0,,410,371,39,Cable,McFadden,Campbell,McFadden,Miller,6,10,20,11,17,14,9,32,2.4,-2.3,0.2,2.3,-2.2
2009,NFL,Oakland Raiders,5,11,0,,197,379,-182,Cable,Asomugha,Russell,Bush,Miller,31,31,23,26,30,30,31,32,-11.4,1.1,-10.3,-8.7,-1.6
2008,NFL,Oakland Raiders,5,11,0,,263,388,-125,CableKiffin,Asomugha,Russell,Fargas,Miller,29,29,24,27,15,28,29,32,-7.8,0.3,-7.5,-6.5,-1.0
2007,NFL,Oakland Raiders,4,12,0,,283,398,-115,Kiffin,Fargas,Culpepper,Fargas,Curry,23,25,26,22,28,28,26,32,-7.2,1.2,-6.0,-3.5,-2.5
2006,NFL,Oakland Raiders,2,14,0,,168,332,-164,Shell,Asomugha,Walter,Fargas,Curry,32,32,18,3,32,32,26,32,-10.3,0.6,-9.6,-10.3,0.7
2005,NFL,Oakland Raiders,4,12,0,,290,383,-93,Turner,Collins,Collins,Jordan,Moss,23,21,25,27,18,26,24,32,-5.8,3.0,-2.8,-1.2,-1.6
2004,NFL,Oakland Raiders,5,11,0,,320,442,-122,Turner,Collins,Collins,Zereoue,Porter,18,17,31,30,29,31,29,32,-7.6,3.4,-4.3,-0.6,-3.7
2003,NFL,Oakland Raiders,4,12,0,,270,379,-109,Callahan,Buchanon,Gannon,Wheatley,Rice,26,25,25,30,18,26,30,32,-6.8,1.3,-5.5,-4.2,-1.3
2002,NFL,Oakland Raiders*,11,5,0,Lost SB,450,304,146,Callahan,Gannon,Gannon,Garner,Rice,2,1,6,11,5,3,2,32,9.1,1.5,10.6,6.3,4.3
2001,NFL,Oakland Raiders*,10,6,0,Lost Div,399,327,72,Gruden,Gannon,Gannon,Garner,Brown,4,7,19,18,16,8,9,31,4.5,-0.9,3.6,4.0,-0.4
2000,NFL,Oakland Raiders*,12,4,0,Lost Conf,479,299,180,Gruden,Gannon,Gannon,Wheatley,Brown,3,6,9,17,3,1,12,31,11.3,-1.5,9.7,8.0,1.8
1999,NFL,Oakland Raiders,8,8,0,,390,329,61,Gruden,Gannon,Gannon,Wheatley,Brown,8,5,16,10,11,10,4,31,3.8,2.9,6.8,5.7,1.0
1998,NFL,Oakland Raiders,8,8,0,,288,356,-68,Gruden,Russell,Hollas,Kaufman,Brown,22,18,20,5,24,21,12,30,-4.3,-1.4,-5.6,-4.1,-1.5
1997,NFL,Oakland Raiders,4,12,0,,324,419,-95,Bugel,Kaufman,George,Kaufman,Brown,17,13,28,30,18,26,30,30,-5.9,0.8,-5.1,-0.1,-5.0
1996,NFL,Oakland Raiders,7,9,0,,340,293,47,White,McGlockton,Hostetler,Kaufman,Brown,12,8,8,8,21,9,7,30,2.9,-0.5,2.4,0.3,2.1
1995,NFL,Oakland Raiders,8,8,0,,348,332,16,White,McGlockton,Hostetler,Williams,Brown,15,11,10,11,16,12,10,30,1.0,1.1,2.1,1.1,1.0
1994,NFL,Los Angeles Raiders,9,7,0,,303,327,-24,Shell,McDaniel,Hostetler,Williams,Brown,19,19,17,10,22,15,14,28,-1.5,-0.1,-1.6,-1.9,0.3
1993,NFL,Los Angeles Raiders*,10,6,0,Lost Div,306,326,-20,Shell,Brown,Hostetler,Robinson,Brown,14,13,21,9,18,18,10,28,-1.3,0.6,-0.7,1.1,-1.7
1992,NFL,Los Angeles Raiders,7,9,0,,249,281,-32,Shell,Long,Schroeder,Dickerson,Brown,23,23,11,9,28,15,14,28,-2.0,0.4,-1.6,-3.2,1.5
1991,NFL,Los Angeles Raiders*,9,7,0,Lost WC,298,297,1,Shell,Townsend,Schroeder,Craig,Fernandez,15,23,12,21,11,15,24,28,0.1,1.3,1.4,0.3,1.1
1990,NFL,Los Angeles Raiders*,12,4,0,Lost Conf,337,268,69,Shell,Townsend,Schroeder,Jackson,Gault,13,19,7,4,14,9,13,28,4.3,2.2,6.6,2.2,4.4
1989,NFL,Los Angeles Raiders,8,8,0,,315,297,18,ShellShanahan,Fernandez,Beuerlein,Jackson,Fernandez,18,19,10,10,16,13,16,28,1.1,0.7,1.8,-0.0,1.9
1988,NFL,Los Angeles Raiders,7,9,0,,325,369,-44,Shanahan,Millen,Schroeder,Allen,Fernandez,16,19,23,19,12,18,21,28,-2.8,-0.8,-3.6,-0.3,-3.3
1987,NFL,Los Angeles Raiders,5,10,0,,301,289,12,Flores,Long,Wilson,Allen,Lofton,17,7,8,5,16,11,3,28,0.8,-0.8,0.0,-1.6,1.7
1986,NFL,Los Angeles Raiders,8,8,0,,323,346,-23,Flores,Pickel,Plunkett,Allen,Christensen,16,14,19,3,24,18,6,28,-1.4,1.6,0.2,-0.0,0.2
1985,NFL,Los Angeles Raiders*,12,4,0,Lost Div,354,308,46,Flores,Long,Wilson,Allen,Christensen,12,11,9,4,24,9,5,28,2.9,1.5,4.3,0.7,3.7
1984,NFL,Los Angeles Raiders*,11,5,0,Lost WC,368,278,90,Flores,Long,Wilson,Allen,Christensen,9,15,4,3,27,6,5,28,5.6,1.2,6.9,2.1,4.8
1983,NFL,Los Angeles Raiders*,12,4,0,Won SB,442,338,104,Flores,Long,Plunkett,Allen,Christensen,3,7,13,4,23,5,2,28,6.5,0.3,6.8,5.1,1.7
1982,NFL,Los Angeles Raiders*,8,1,0,Lost Div,260,200,60,Flores,Allen,Plunkett,Allen,Branch,2,10,22,22,5,6,16,28,6.7,-1.5,5.2,6.1,-0.9
1981,NFL,Oakland Raiders,7,9,0,,273,343,-70,Flores,Hayes,Wilson,King,Ramsey,25,21,15,21,26,22,21,28,-4.4,0.7,-3.6,-3.6,0.0
1980,NFL,Oakland Raiders*,11,5,0,Won SB,364,306,58,Flores,Hayes,Plunkett,van Eeghen,Branch,7,16,10,11,6,9,13,28,3.6,0.6,4.2,2.9,1.3
1979,NFL,Oakland Raiders,9,7,0,,365,337,28,Flores,Stabler,Stabler,van Eeghen,Branch,7,11,17,21,6,11,20,28,1.8,2.0,3.8,3.8,-0.0
1978,NFL,Oakland Raiders,9,7,0,,311,283,28,Madden,Shell,Stabler,van Eeghen,Casper,10,10,10,16,13,8,10,28,1.8,0.9,2.6,1.6,1.1
1977,NFL,Oakland Raiders*,11,3,0,Lost Conf,351,230,121,Madden,van Eeghen,Stabler,van Eeghen,Casper,1,2,14,15,6,4,4,28,8.6,1.7,10.4,8.8,1.6
1976,NFL,Oakland Raiders*,13,1,0,Won SB,350,237,113,Madden,Branch,Stabler,van Eeghen,Branch,4,2,12,18,19,7,7,28,8.1,0.4,8.5,6.3,2.2
1975,NFL,Oakland Raiders*,11,3,0,Lost Conf,375,255,120,Madden,Villapiano,Stabler,Banaszak,Branch,4,4,7,3,17,6,2,26,8.6,-1.8,6.8,5.5,1.3
1974,NFL,Oakland Raiders*,12,2,0,Lost Conf,355,228,127,Madden,Branch,Stabler,Hubbard,Branch,1,2,9,16,2,1,7,26,9.1,-0.1,9.0,6.4,2.7
1973,NFL,Oakland Raiders*,9,4,1,Lost Conf,292,175,117,Madden,Brown,Stabler,Hubbard,Siani,10,3,3,2,15,7,2,26,8.4,-1.7,6.7,0.0,6.7
1972,NFL,Oakland Raiders*,10,3,1,Lost Div,365,248,117,Madden,Hubbard,Lamonica,Hubbard,Biletnikoff,3,3,8,12,8,4,2,26,8.4,-0.3,8.0,5.0,3.0
1971,NFL,Oakland Raiders,8,4,2,,344,278,66,Madden,Biletnikoff,Lamonica,Hubbard,Biletnikoff,2,7,14,16,12,8,13,26,4.7,-1.0,3.7,4.8,-1.1
1970,NFL,Oakland Raiders*,8,4,2,Lost Conf,300,293,7,Madden,Upshaw,Lamonica,Dixon,Wells,9,1,19,19,16,13,4,26,0.5,0.5,1.0,2.3,-1.3
1969,AFL,Oakland Raiders*,12,1,1,Lost Conf,377,242,135,Madden,Wells,Lamonica,Smith,Wells,1,1,2,2,2,2,2,10,9.6,-0.6,9.0,5.6,3.4
1968,AFL,Oakland Raiders*,12,2,0,Lost Conf,453,233,220,Rauch,Grayson,Lamonica,Dixon,Wells,1,1,2,3,4,1,2,10,15.7,-1.4,14.3,10.0,4.3
1967,AFL,Oakland Raiders*,13,1,0,Lost SB,468,233,235,Rauch,McCloughan,Lamonica,Daniels,Biletnikoff,1,3,2,1,4,1,1,9,16.8,-1.5,15.3,9.8,5.5
1966,AFL,Oakland Raiders,8,5,1,,315,288,27,Rauch,Daniels,Flores,Daniels,Powell,6,4,5,1,5,5,2,9,1.9,-0.8,1.1,-0.8,1.9
1965,AFL,Oakland Raiders,8,5,1,,298,239,59,Davis,Grayson,Flores,Daniels,Powell,5,5,3,4,2,3,5,8,4.2,-0.5,3.7,-0.8,4.5
1964,AFL,Oakland Raiders,5,7,2,,303,350,-47,Davis,Daniels,Davidson,Daniels,Powell,6,2,6,5,8,7,5,8,-3.4,0.4,-2.9,-1.4,-1.6
1963,AFL,Oakland Raiders,10,4,0,,363,282,81,Davis,Daniels,Flores,Daniels,Powell,2,3,4,2,1,3,3,8,5.8,-0.7,5.1,2.4,2.7
1962,AFL,Oakland Raiders,1,13,0,,213,370,-157,ConkrightFeldman,Williamson,Davidson,Daniels,Roberson,8,8,6,8,4,8,8,8,-11.2,1.4,-9.8,-7.6,-2.2
1961,AFL,Oakland Raiders,2,12,0,,237,458,-221,FeldmanErdelatz,Otto,Flores,Crow,Asad,8,8,8,8,7,8,8,8,-15.8,2.0,-13.8,-6.5,-7.3
1960,AFL,Oakland Raiders,6,8,0,,319,388,-69,Erdelatz,Otto,Flores,Teresa,Lott,5,4,6,7,6,7,6,8,-4.9,0.6,-4.3,-0.9,-3.4
