
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,San Diego Chargers,9,7,0,,348,348,0,McCoy,Rivers,Rivers,Oliver,Floyd,17,18,13,9,22,17,16,32,0.0,1.9,1.9,0.7,1.2
2013,NFL,San Diego Chargers*,9,7,0,Lost Div,396,348,48,McCoy,Rivers,Rivers,Mathews,Allen,12,5,11,23,20,12,9,32,3.0,-0.3,2.7,0.5,2.1
2012,NFL,San Diego Chargers,7,9,0,,350,350,0,Turner,Weddle,Rivers,Mathews,Floyd,20,31,16,9,14,16,25,32,0.0,-2.3,-2.3,-2.0,-0.4
2011,NFL,San Diego Chargers,8,8,0,,406,377,29,Turner,Rivers,Rivers,Mathews,Jackson,5,6,22,16,25,11,6,32,1.8,-0.9,0.9,2.7,-1.8
2010,NFL,San Diego Chargers,9,7,0,,441,322,119,Turner,Rivers,Rivers,Tolbert,Gates,2,1,10,1,23,5,1,32,7.4,-2.6,4.8,3.2,1.6
2009,NFL,San Diego Chargers*,13,3,0,Lost Div,454,320,134,Turner,Rivers,Rivers,Tomlinson,Jackson,4,10,11,16,6,5,12,32,8.4,-1.7,6.6,6.4,0.2
2008,NFL,San Diego Chargers*,8,8,0,Lost Div,439,347,92,Turner,Rivers,Rivers,Tomlinson,Jackson,2,11,15,25,11,7,21,32,5.8,-0.8,5.0,5.0,-0.0
2007,NFL,San Diego Chargers*,11,5,0,Lost Conf,412,284,128,Turner,Tomlinson,Rivers,Tomlinson,Gates,5,20,5,14,1,5,19,32,8.0,0.8,8.8,4.3,4.5
2006,NFL,San Diego Chargers*,14,2,0,Lost Div,492,303,189,Schottenheimer,Tomlinson,Rivers,Tomlinson,Gates,1,4,7,10,3,1,2,32,11.8,-1.6,10.2,10.0,0.2
2005,NFL,San Diego Chargers,9,7,0,,418,312,106,Schottenheimer,Tomlinson,Brees,Tomlinson,Gates,5,10,13,13,25,7,6,32,6.6,3.3,9.9,7.1,2.9
2004,NFL,San Diego Chargers*,12,4,0,Lost WC,446,313,133,Schottenheimer,Tomlinson,Brees,Tomlinson,Gates,3,10,11,18,3,3,13,32,8.3,0.8,9.1,6.1,3.0
2003,NFL,San Diego Chargers,4,12,0,,313,441,-128,Schottenheimer,Tomlinson,Brees,Tomlinson,Boston,16,14,31,27,28,30,24,32,-8.0,1.2,-6.8,-0.6,-6.2
2002,NFL,San Diego Chargers,8,8,0,,333,367,-34,Schottenheimer,Tomlinson,Brees,Tomlinson,Conway,20,16,22,30,13,21,26,32,-2.1,1.4,-0.7,-1.0,0.2
2001,NFL,San Diego Chargers,5,11,0,,332,321,11,Riley,Wiley,Flutie,Tomlinson,Conway,14,11,16,11,13,13,8,31,0.7,-1.0,-0.3,0.3,-0.6
2000,NFL,San Diego Chargers,1,15,0,,269,440,-171,Riley,Seau,Leaf,Fletcher,Graham,26,28,29,13,31,28,22,31,-10.7,2.6,-8.1,-3.7,-4.4
1999,NFL,San Diego Chargers,8,8,0,,269,316,-47,Riley,Seau,Harbaugh,Fazande,Graham,28,26,10,12,25,22,23,31,-2.9,2.0,-1.0,-3.9,2.9
1998,NFL,San Diego Chargers,5,11,0,,241,342,-101,JonesGilbride,Seau,Whelihan,Means,Jones,29,24,18,1,30,26,10,30,-6.3,-2.1,-8.4,-7.7,-0.7
1997,NFL,San Diego Chargers,4,12,0,,266,425,-159,Gilbride,Seau,Humphries,Brown,Martin,26,28,30,21,25,30,28,30,-9.9,1.0,-8.9,-4.1,-4.8
1996,NFL,San Diego Chargers,8,8,0,,310,376,-66,Ross,Seau,Humphries,Russell,Martin,18,26,24,23,9,22,28,30,-4.1,2.4,-1.8,0.4,-2.1
1995,NFL,San Diego Chargers*,9,7,0,Lost WC,321,323,-2,Ross,Seau,Humphries,Means,Martin,19,16,6,10,19,16,14,30,-0.1,1.6,1.5,-0.6,2.1
1994,NFL,San Diego Chargers*,11,5,0,Lost SB,381,306,75,Ross,Seau,Humphries,Means,Martin,5,11,9,14,6,6,11,28,4.7,-1.1,3.6,2.9,0.7
1993,NFL,San Diego Chargers,8,8,0,,322,290,32,Ross,Seau,Humphries,Butts,Miller,10,14,12,18,1,10,19,28,2.0,0.3,2.3,1.1,1.1
1992,NFL,San Diego Chargers*,11,5,0,Lost Div,335,241,94,Ross,Seau,Humphries,Butts,Miller,9,6,4,4,12,7,5,28,5.9,-2.8,3.1,1.8,1.3
1991,NFL,San Diego Chargers,4,12,0,,274,342,-68,Henning,Byrd,Friesz,Butts,Miller,21,13,21,19,11,22,14,28,-4.3,2.0,-2.2,-0.6,-1.7
1990,NFL,San Diego Chargers,6,10,0,,315,281,34,Henning,O'Neal,Tolliver,Butts,Miller,17,15,10,5,14,12,7,28,2.1,0.2,2.3,-0.1,2.5
1989,NFL,San Diego Chargers,6,10,0,,266,290,-24,Henning,Williams,McMahon,Butts,Miller,23,21,9,6,16,17,14,28,-1.5,0.8,-0.7,-2.9,2.1
1988,NFL,San Diego Chargers,6,10,0,,231,332,-101,Saunders,Williams,Malone,Anderson,Holland,27,26,18,21,22,27,26,28,-6.3,-1.1,-7.4,-7.1,-0.2
1987,NFL,San Diego Chargers,8,7,0,,253,317,-64,Saunders,Smith,Fouts,Adams,Chandler,27,21,15,15,26,23,18,28,-4.3,0.5,-3.7,-4.3,0.5
1986,NFL,San Diego Chargers,4,12,0,,335,396,-61,SaundersCoryell,Anderson,Fouts,Anderson,Chandler,15,12,24,23,26,23,17,28,-3.8,1.9,-1.9,1.2,-3.1
1985,NFL,San Diego Chargers,8,8,0,,467,435,32,Coryell,James,Fouts,James,Chandler,1,1,25,28,22,11,10,28,2.0,-0.9,1.1,8.3,-7.2
1984,NFL,San Diego Chargers,7,9,0,,394,413,-19,Coryell,Fouts,Fouts,Jackson,Joiner,6,4,24,26,15,17,7,28,-1.2,2.0,0.8,4.8,-4.0
1983,NFL,San Diego Chargers,6,10,0,,358,462,-104,Coryell,Winslow,Fouts,Muncie,Winslow,12,1,28,26,27,26,11,28,-6.5,1.9,-4.6,1.1,-5.7
1982,NFL,San Diego Chargers*,6,3,0,Lost Div,288,221,67,Coryell,Fouts,Fouts,Muncie,Chandler,1,1,24,25,5,3,1,28,7.4,-2.1,5.3,10.6,-5.3
1981,NFL,San Diego Chargers*,10,6,0,Lost Conf,478,390,88,Coryell,Fouts,Fouts,Muncie,Joiner,1,1,26,27,13,5,6,28,5.5,-1.1,4.4,9.2,-4.7
1980,NFL,San Diego Chargers*,11,5,0,Lost Conf,418,327,91,Coryell,Fouts,Fouts,Muncie,Jefferson,4,1,18,6,25,6,1,28,5.7,0.4,6.0,6.5,-0.4
1979,NFL,San Diego Chargers*,12,4,0,Lost Div,411,246,165,Coryell,Fouts,Fouts,Williams,Jefferson,2,5,2,5,5,1,4,28,10.3,1.5,11.8,6.0,5.7
1978,NFL,San Diego Chargers,9,7,0,,355,309,46,CoryellProthro,Fouts,Fouts,Mitchell,Jefferson,6,4,21,8,27,7,4,28,2.9,0.7,3.6,4.6,-0.9
