
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Seattle Seahawks*,12,4,0,Lost SB,394,254,140,Carroll,Wilson,Wilson,Lynch,Baldwin,10,9,1,1,4,2,1,32,8.8,0.8,9.5,2.4,7.1
2013,NFL,Seattle Seahawks*,13,3,0,Won SB,417,231,186,Carroll,Sherman,Wilson,Lynch,Tate,8,17,1,1,1,2,3,32,11.6,1.4,13.0,4.1,8.9
2012,NFL,Seattle Seahawks*,11,5,0,Lost Div,412,245,167,Carroll,Sherman,Wilson,Lynch,Rice,9,17,1,4,5,3,7,32,10.4,1.8,12.2,4.5,7.7
2011,NFL,Seattle Seahawks,7,9,0,,321,315,6,Carroll,Thomas,Jackson,Lynch,Baldwin,23,28,7,9,5,18,23,32,0.4,0.4,0.8,-0.5,1.3
2010,NFL,Seattle Seahawks*,7,9,0,Lost Div,310,407,-97,Carroll,Hasselbeck,Hasselbeck,Lynch,Williams,23,28,25,27,27,28,30,32,-6.1,-3.4,-9.4,-3.9,-5.5
2009,NFL,Seattle Seahawks,5,11,0,,280,390,-110,Mora,Babineaux,Hasselbeck,Jones,Houshmandzadeh,25,21,25,24,26,26,25,32,-6.9,-2.4,-9.3,-5.0,-4.4
2008,NFL,Seattle Seahawks,4,12,0,,294,392,-98,Holmgren,Peterson,Wallace,Jones,Carlson,25,28,25,30,25,26,30,32,-6.1,-1.5,-7.6,-4.9,-2.8
2007,NFL,Seattle Seahawks*,10,6,0,Lost Div,393,291,102,Holmgren,Kerney,Hasselbeck,Alexander,Engram,9,9,6,15,5,8,10,32,6.4,-4.6,1.8,0.8,0.9
2006,NFL,Seattle Seahawks*,9,7,0,Lost Div,335,341,-6,Holmgren,Jones,Hasselbeck,Alexander,Jackson,14,19,19,19,27,15,21,32,-0.4,-3.2,-3.6,-1.6,-1.9
2005,NFL,Seattle Seahawks*,13,3,0,Lost SB,452,271,181,Holmgren,Alexander,Hasselbeck,Alexander,Engram,1,2,7,16,7,2,3,32,11.3,-2.2,9.1,5.8,3.4
2004,NFL,Seattle Seahawks*,9,7,0,Lost WC,371,373,-2,Holmgren,Jones,Hasselbeck,Alexander,Jackson,12,8,22,26,9,16,15,32,-0.1,-2.8,-2.9,0.4,-3.3
