
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Tampa Bay Buccaneers,2,14,0,,277,410,-133,Smith,McCoy,McCown,Martin,Evans,29,30,25,25,26,28,31,32,-8.3,-1.5,-9.8,-6.5,-3.3
2013,NFL,Tampa Bay Buccaneers,4,12,0,,288,389,-101,Schiano,David,Glennon,Rainey,Jackson,30,32,21,17,7,28,30,32,-6.3,3.6,-2.7,-2.9,0.3
2012,NFL,Tampa Bay Buccaneers,7,9,0,,389,394,-5,Schiano,Martin,Freeman,Martin,Jackson,13,9,23,29,12,17,21,32,-0.3,0.3,0.0,1.3,-1.3
2011,NFL,Tampa Bay Buccaneers,4,12,0,,287,494,-207,Morris,Joseph,Freeman,Blount,Williams,27,21,32,30,32,31,31,32,-12.9,2.3,-10.6,-4.0,-6.6
2010,NFL,Tampa Bay Buccaneers,10,6,0,,341,318,23,Morris,Freeman,Freeman,Blount,Williams,20,19,9,17,5,15,16,32,1.4,-2.0,-0.6,-1.0,0.4
2009,NFL,Tampa Bay Buccaneers,3,13,0,,244,400,-156,Morris,Ruud,Freeman,Williams,Winslow,30,28,27,27,22,29,27,32,-9.8,4.1,-5.6,-4.6,-1.1
2008,NFL,Tampa Bay Buccaneers,9,7,0,,361,323,38,Gruden,Barber,Garcia,Dunn,Bryant,19,14,10,9,11,15,10,32,2.4,-0.1,2.3,-0.6,2.9
2007,NFL,Tampa Bay Buccaneers*,9,7,0,Lost WC,334,270,64,Gruden,Haye,Garcia,Graham,Galloway,18,18,3,2,4,9,6,32,4.0,-2.8,1.2,-2.3,3.6
2006,NFL,Tampa Bay Buccaneers,4,12,0,,211,353,-142,Gruden,Barber,Gradkowski,Williams,Galloway,31,29,21,17,30,31,29,32,-8.9,0.9,-7.9,-7.2,-0.8
2005,NFL,Tampa Bay Buccaneers*,11,5,0,Lost WC,300,274,26,Gruden,Barber,Simms,Williams,Galloway,20,23,8,1,9,14,16,32,1.6,-2.6,-1.0,-2.8,1.8
2004,NFL,Tampa Bay Buccaneers,5,11,0,,301,304,-3,Gruden,Barber,Griese,Pittman,Clayton,23,22,9,5,24,17,12,32,-0.2,-2.5,-2.7,-4.0,1.3
2003,NFL,Tampa Bay Buccaneers,7,9,0,,301,264,37,Gruden,Rice,Johnson,Pittman,McCardell,18,10,4,5,10,14,4,32,2.3,-0.7,1.6,-2.9,4.5
2002,NFL,Tampa Bay Buccaneers*,12,4,0,Won SB,346,196,150,Gruden,Brooks,Johnson,Pittman,Johnson,18,24,1,1,1,2,4,32,9.4,-0.6,8.8,-1.0,9.8
2001,NFL,Tampa Bay Buccaneers*,9,7,0,Lost WC,324,280,44,Dungy,Sapp,Johnson,Alstott,Johnson,15,26,8,6,2,10,15,31,2.8,1.3,4.0,0.7,3.3
2000,NFL,Tampa Bay Buccaneers*,10,6,0,Lost WC,388,269,119,Dungy,Sapp,King,Dunn,Johnson,6,21,7,9,3,4,19,31,7.4,-0.1,7.3,3.4,3.9
1999,NFL,Tampa Bay Buccaneers*,11,5,0,Lost Conf,270,235,35,Dungy,Brooks,Dilfer,Alstott,Green,27,28,3,3,17,14,19,31,2.2,0.4,2.6,-4.1,6.7
1998,NFL,Tampa Bay Buccaneers,8,8,0,,314,295,19,Dungy,Brooks,Dilfer,Dunn,Anthony,18,22,5,2,21,12,9,30,1.2,0.1,1.3,-2.3,3.5
1997,NFL,Tampa Bay Buccaneers*,10,6,0,Lost Div,299,263,36,Dungy,Nickerson,Dilfer,Dunn,Williams,23,29,2,3,12,12,18,30,2.3,0.5,2.7,-2.4,5.1
1996,NFL,Tampa Bay Buccaneers,6,10,0,,221,293,-72,Dungy,Nickerson,Dilfer,Rhett,Alstott,30,28,8,11,21,25,24,30,-4.5,1.5,-3.0,-5.9,2.9
1995,NFL,Tampa Bay Buccaneers,7,9,0,,238,335,-97,Wyche,Nickerson,Dilfer,Rhett,Harris,29,27,12,27,21,26,30,30,-6.1,1.1,-5.0,-6.9,1.9
1994,NFL,Tampa Bay Buccaneers,6,10,0,,251,351,-100,Wyche,Erickson,Erickson,Rhett,Dawsey,26,20,20,21,17,26,23,28,-6.3,0.0,-6.2,-5.4,-0.8
1993,NFL,Tampa Bay Buccaneers,5,11,0,,237,376,-139,Wyche,Nickerson,Erickson,Cobb,Hawkins,23,25,26,22,25,26,25,28,-8.7,1.1,-7.6,-3.3,-4.3
1992,NFL,Tampa Bay Buccaneers,5,11,0,,267,365,-98,Wyche,Gruber,Testaverde,Cobb,Dawsey,21,16,25,25,11,26,17,28,-6.1,0.3,-5.9,-2.0,-3.9
1991,NFL,Tampa Bay Buccaneers,3,13,0,,199,365,-166,Williamson,Thomas,Testaverde,Cobb,Dawsey,26,26,25,11,27,26,26,28,-10.4,-0.8,-11.1,-7.0,-4.2
1990,NFL,Tampa Bay Buccaneers,6,10,0,,264,367,-103,PerkinsWilliamson,Haddix,Testaverde,Anderson,Carrier,25,24,22,24,12,25,26,28,-6.4,-0.7,-7.1,-4.0,-3.2
1989,NFL,Tampa Bay Buccaneers,5,11,0,,320,419,-99,Perkins,Carrier,Testaverde,Tate,Carrier,16,22,27,17,16,24,21,28,-6.2,1.1,-5.1,-0.4,-4.7
1988,NFL,Tampa Bay Buccaneers,5,11,0,,261,350,-89,Perkins,Hamilton,Testaverde,Tate,Hill,22,17,19,13,26,25,15,28,-5.6,1.5,-4.1,-1.9,-2.2
1987,NFL,Tampa Bay Buccaneers,4,11,0,,286,360,-74,Perkins,Wilder,DeBerg,Wilder,Carter,19,27,20,16,11,24,25,28,-4.9,-0.8,-5.8,-3.1,-2.7
1986,NFL,Tampa Bay Buccaneers,2,14,0,,239,473,-234,Bennett,Young,Young,Wilder,Carter,26,27,28,28,22,28,28,28,-14.6,-0.8,-15.4,-4.6,-10.8
1985,NFL,Tampa Bay Buccaneers,2,14,0,,294,448,-154,Bennett,Wilder,DeBerg,Wilder,House,21,23,27,26,24,26,27,28,-9.6,2.2,-7.4,-1.9,-5.5
