
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2014,NFL,Washington Redskins,4,12,0,,301,438,-137,Gruden,Kerrigan,Cousins,Morris,Jackson,26,13,29,20,30,29,17,32,-8.6,-0.2,-8.7,-4.0,-4.7
2013,NFL,Washington Redskins,3,13,0,,334,478,-144,Shanahan,Griffin,Griffin,Morris,Garcon,23,9,30,18,25,30,11,32,-9.0,-0.3,-9.3,-3.9,-5.4
2012,NFL,Washington Redskins*,10,6,0,Lost WC,436,388,48,Shanahan,Griffin,Griffin,Morris,Garcon,4,5,22,28,3,12,13,32,3.0,0.4,3.4,4.6,-1.2
2011,NFL,Washington Redskins,5,11,0,,288,367,-79,Shanahan,Fletcher,Grossman,Helu,Gaffney,26,16,21,13,30,24,16,32,-4.9,0.8,-4.1,-4.3,0.2
2010,NFL,Washington Redskins,6,10,0,,302,377,-75,Shanahan,Fletcher,McNabb,Torain,Moss,25,18,21,31,19,27,26,32,-4.7,0.9,-3.8,-3.4,-0.5
2009,NFL,Washington Redskins,4,12,0,,266,336,-70,Zorn,Campbell,Campbell,Portis,Moss,26,22,18,10,28,24,18,32,-4.4,-0.2,-4.6,-5.5,1.0
2008,NFL,Washington Redskins,8,8,0,,265,296,-31,Zorn,Portis,Campbell,Portis,Moss,28,19,6,4,17,22,12,32,-1.9,0.2,-1.8,-5.8,4.1
2007,NFL,Washington Redskins*,9,7,0,Lost WC,334,310,24,Gibbs,Portis,Campbell,Portis,Moss,18,15,11,8,21,12,9,32,1.5,3.0,4.5,0.2,4.3
2006,NFL,Washington Redskins,5,11,0,,307,376,-69,Gibbs,Betts,Brunell,Betts,Moss,20,13,27,31,23,24,23,32,-4.3,0.3,-4.0,-2.1,-2.0
2005,NFL,Washington Redskins*,10,6,0,Lost Div,359,293,66,Gibbs,Moss,Brunell,Portis,Moss,13,11,9,9,14,11,9,32,4.1,1.9,6.0,2.6,3.4
2004,NFL,Washington Redskins,6,10,0,,240,265,-25,Gibbs,Washington,Ramsey,Portis,Coles,31,30,5,3,20,19,14,32,-1.6,-1.8,-3.4,-7.4,4.0
2003,NFL,Washington Redskins,5,11,0,,287,372,-85,Spurrier,Arrington,Ramsey,Canidate,Coles,22,23,24,25,10,25,27,32,-5.3,-0.4,-5.7,-1.9,-3.8
2002,NFL,Washington Redskins,7,9,0,,307,365,-58,Spurrier,Arrington,Ramsey,Davis,Gardner,25,20,21,5,29,26,14,32,-3.6,-0.8,-4.5,-2.2,-2.2
2001,NFL,Washington Redskins,8,8,0,,256,303,-47,Schottenheimer,Arrington,Banks,Davis,Gardner,28,28,13,10,11,20,23,31,-2.9,-0.7,-3.7,-4.0,0.4
2000,NFL,Washington Redskins,8,8,0,,281,269,12,TurnerRobiskie,Bailey,Johnson,Davis,Connell,24,11,7,4,16,16,6,31,0.8,0.2,1.0,-2.9,3.8
1999,NFL,Washington Redskins*,10,6,0,Lost Div,443,377,66,Turner,Johnson,Johnson,Davis,Westbrook,2,2,24,30,4,8,11,31,4.1,-1.2,2.9,6.8,-3.9
1998,NFL,Washington Redskins,6,10,0,,319,421,-102,Turner,Green,Green,Allen,Westbrook,17,15,28,24,24,27,19,30,-6.4,-1.1,-7.5,-1.5,-6.0
1997,NFL,Washington Redskins,8,7,1,,327,289,38,Turner,Dishman,Frerotte,Allen,Shepherd,15,16,8,16,14,11,13,30,2.4,-1.1,1.3,-0.6,1.8
1996,NFL,Washington Redskins,9,7,0,,364,312,52,Turner,Frerotte,Frerotte,Allen,Ellard,8,9,13,28,4,8,23,30,3.3,-1.4,1.8,2.3,-0.4
1995,NFL,Washington Redskins,6,10,0,,326,359,-33,Turner,Harvey,Frerotte,Allen,Ellard,18,18,21,18,6,21,18,30,-2.1,0.1,-1.9,-0.8,-1.2
1994,NFL,Washington Redskins,3,13,0,,320,412,-92,Turner,Ellard,Shuler,Ervins,Ellard,13,17,28,26,27,25,27,28,-5.8,-0.3,-6.1,0.3,-6.4
1993,NFL,Washington Redskins,4,12,0,,230,345,-115,Petitbon,Brooks,Rypien,Brooks,Sanders,25,26,23,26,14,24,28,28,-7.2,0.7,-6.5,-3.8,-2.7
1992,NFL,Washington Redskins*,9,7,0,Lost Div,300,255,45,Gibbs,Marshall,Rypien,Byner,Clark,14,12,8,7,3,12,9,28,2.8,1.6,4.4,0.7,3.8
1991,NFL,Washington Redskins*,14,2,0,Won SB,485,224,261,Gibbs,Clark,Rypien,Byner,Clark,1,4,2,3,1,1,1,28,16.3,0.3,16.6,11.7,4.9
1990,NFL,Washington Redskins*,10,6,0,Lost Div,381,301,80,Gibbs,Lachey,Rypien,Byner,Clark,4,4,13,14,6,8,4,28,5.0,0.4,5.4,4.6,0.8
1989,NFL,Washington Redskins,10,6,0,,386,308,78,Gibbs,Lachey,Rypien,Riggs,Clark,5,2,13,9,12,9,2,28,4.9,-0.9,4.0,3.8,0.2
1988,NFL,Washington Redskins,7,9,0,,345,387,-42,Gibbs,May,Williams,Bryant,Sanders,10,6,26,16,28,17,8,28,-2.6,0.4,-2.2,1.2,-3.4
1987,NFL,Washington Redskins*,11,4,0,Won SB,379,285,94,Gibbs,Wilburn,Schroeder,Rogers,Clark,4,3,6,18,16,4,8,28,6.3,-2.5,3.8,1.8,2.0
1986,NFL,Washington Redskins*,12,4,0,Lost Conf,368,296,72,Gibbs,Manley,Schroeder,Rogers,Clark,9,5,9,21,17,8,8,28,4.5,1.0,5.5,3.5,2.1
1985,NFL,Washington Redskins,10,6,0,,297,312,-15,Gibbs,Grimm,Theismann,Rogers,Monk,20,14,11,3,21,17,4,28,-0.9,-1.0,-1.9,-3.4,1.5
1984,NFL,Washington Redskins*,11,5,0,Lost Div,426,310,116,Gibbs,Jacoby,Theismann,Riggins,Monk,3,9,11,18,4,4,17,28,7.3,-0.9,6.4,5.0,1.3
1983,NFL,Washington Redskins*,14,2,0,Lost SB,541,332,209,Gibbs,Theismann,Theismann,Riggins,Brown,1,3,11,12,1,1,3,28,13.1,0.9,13.9,11.7,2.2
1982,NFL,Washington Redskins*,8,1,0,Won SB,190,128,62,Gibbs,Theismann,Theismann,Riggins,Brown,12,7,1,4,2,5,6,28,6.9,0.5,7.4,2.2,5.2
1981,NFL,Washington Redskins,8,8,0,,347,349,-2,Gibbs,Theismann,Theismann,Washington,Monk,10,9,16,10,16,16,12,28,-0.1,1.1,1.0,2.2,-1.2
